A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,E1,E2,E3,E4,E5,N1,N2,N3,N4,N5,O1,O2,O3,O4,O5,gender,education,age,group
1,6,6,6,5,4,3,4,5,6,2,2,4,5,3,1,2,4,4,4,4,3,5,5,3,1,3,19,
3,4,4,6,3,5,5,5,2,4,6,4,3,3,4,1,3,2,2,1,6,2,3,5,2,1,3,19,
3,5,6,5,6,5,6,5,2,1,3,1,4,6,5,3,5,3,3,1,4,1,4,4,3,1,3,21,
1,5,NA,6,5,5,5,6,1,1,1,2,4,6,6,4,4,3,2,2,6,1,5,6,2,2,3,22,
2,4,4,6,3,4,5,4,2,4,6,4,2,3,4,1,1,1,1,1,6,2,NA,5,2,1,3,19,
4,5,5,5,5,5,4,5,2,4,2,2,4,5,5,2,3,2,1,1,5,4,4,4,1,2,5,41,
1,6,4,6,6,5,4,5,1,2,5,1,5,4,6,1,2,2,1,1,4,2,5,5,3,1,3,40,
4,3,4,2,5,5,5,5,2,2,2,2,3,3,6,4,4,3,3,2,6,1,4,6,1,2,5,44,
3,5,5,5,5,4,3,3,3,5,3,4,3,5,5,4,5,2,2,2,5,4,4,5,5,1,3,25,
5,2,1,1,2,2,1,2,5,6,2,5,2,4,2,3,6,4,5,3,5,6,2,6,4,2,NA,15,
3,3,3,4,4,5,2,5,2,3,4,2,3,5,4,2,2,2,3,2,2,3,2,4,5,1,3,24,
4,2,4,1,4,5,4,4,1,5,2,2,4,3,5,2,4,1,2,1,4,4,NA,4,2,2,3,23,
3,5,4,5,5,4,2,4,4,4,3,4,6,6,6,3,4,2,2,1,5,1,3,5,3,2,1,22,
3,5,6,6,5,4,4,6,3,3,3,4,4,5,4,1,1,2,3,2,5,4,4,5,3,2,3,19,
4,5,5,6,4,6,5,5,2,2,5,5,4,4,4,2,4,2,6,2,5,2,4,4,2,2,3,23,
6,1,1,4,6,5,6,5,1,1,1,1,5,6,6,1,1,1,1,1,5,1,6,1,1,2,3,38,
3,5,5,6,6,6,6,6,1,1,1,2,4,4,6,1,1,1,2,2,3,2,4,2,1,1,2,26,
5,5,5,6,6,5,4,5,2,2,4,1,5,6,5,1,1,2,5,1,6,5,4,4,4,2,3,46,
3,4,4,5,3,4,4,4,2,2,4,3,3,3,5,3,3,3,2,2,5,4,4,4,3,2,2,24,
5,6,5,5,6,5,4,6,1,2,1,3,5,6,5,1,4,1,3,2,4,5,4,6,2,2,1,18,
1,6,5,6,5,3,3,5,4,4,4,5,4,3,5,2,2,3,5,4,5,3,5,6,2,1,2,48,
1,6,6,6,5,6,4,4,1,5,1,1,6,3,3,3,5,5,2,4,6,6,4,6,1,2,3,30,
4,4,6,5,4,4,5,3,5,4,2,4,4,5,3,2,4,2,3,3,5,4,4,4,4,1,2,22,
5,5,5,1,5,6,5,2,6,6,4,4,6,3,3,5,4,4,5,4,6,6,6,6,4,1,3,20,
3,4,4,3,2,6,5,5,1,3,2,5,5,2,5,4,5,3,6,1,6,1,6,6,1,1,5,36,
6,6,6,6,6,5,5,6,6,1,1,1,6,6,6,6,3,2,2,5,1,2,6,6,6,1,1,18,
2,6,5,6,5,6,5,5,1,1,5,1,5,5,6,5,4,2,2,1,6,1,5,6,2,1,3,27,
4,1,4,6,6,6,4,4,2,6,1,1,6,6,5,1,2,1,1,1,4,3,4,2,5,2,2,30,
3,5,4,5,5,5,6,5,2,1,3,3,4,6,5,1,2,2,1,2,4,5,3,4,3,1,3,18,
2,4,5,5,5,4,4,4,2,3,3,4,3,5,3,5,5,2,4,4,4,4,4,2,2,1,3,20,
1,5,5,5,5,5,4,5,1,1,2,2,3,5,5,1,2,2,2,2,2,2,5,4,2,2,3,55,
1,6,6,5,5,5,6,5,2,5,4,4,3,6,5,3,4,2,2,6,4,2,5,5,3,2,3,17,
4,5,4,3,4,4,4,5,4,5,4,4,4,4,5,2,2,5,5,3,6,2,3,6,6,1,4,28,
3,5,4,5,5,5,5,3,4,6,1,6,5,6,6,6,6,5,4,5,6,6,3,4,2,2,3,19,
4,5,6,4,6,4,5,5,3,3,1,1,5,5,6,2,4,4,NA,1,6,2,5,5,3,2,3,19,
1,6,6,6,6,6,5,6,1,3,1,1,6,6,6,1,1,1,3,3,6,1,6,5,3,2,NA,16,
1,5,6,6,6,5,6,6,5,1,4,1,6,6,5,5,1,5,5,2,6,5,5,5,2,1,1,31,
2,4,4,4,5,4,5,4,2,4,1,1,5,6,6,4,5,6,4,4,6,3,5,4,1,2,3,50,
3,5,6,6,6,4,5,6,3,1,2,1,5,2,6,5,4,1,2,3,4,5,5,6,4,2,3,31,
1,5,6,5,6,6,5,5,1,2,2,1,5,5,6,2,2,2,2,1,5,1,6,4,2,2,5,27,
1,4,4,2,5,5,4,3,2,4,5,5,4,2,3,4,4,4,5,4,4,2,2,5,4,1,3,16,
4,6,6,6,5,4,4,5,2,5,1,1,4,5,5,4,5,4,4,5,5,1,6,6,1,1,3,18,
2,6,5,6,3,3,3,5,3,5,1,4,3,5,2,4,5,6,4,4,2,4,3,6,3,2,3,20,
3,4,5,4,4,4,4,3,4,5,5,4,3,3,4,5,5,3,3,3,4,3,5,5,3,1,3,21,
2,6,6,6,6,5,4,5,1,1,1,1,5,5,5,4,3,2,2,3,5,1,5,4,2,2,5,32,
2,2,2,4,3,3,2,4,4,6,4,4,3,3,3,1,3,3,5,1,4,6,3,4,4,2,3,30,
2,5,4,6,4,4,5,4,3,4,1,3,3,4,4,4,4,5,3,5,4,4,4,4,2,2,3,24,
3,4,6,6,4,4,4,5,5,4,2,4,4,3,3,6,6,6,4,5,3,4,5,4,4,2,1,35,
1,5,5,6,5,5,4,5,2,1,1,3,5,6,5,3,4,4,3,4,5,3,4,4,2,2,3,19,
2,5,6,5,4,3,5,5,2,1,4,5,4,1,6,6,6,6,6,4,4,2,6,6,2,2,3,23,
2,4,2,4,4,5,3,5,2,3,6,4,4,5,5,4,4,3,3,2,5,2,5,5,4,2,NA,16,
1,6,6,6,6,6,4,4,3,4,1,1,6,6,6,1,2,4,2,2,6,1,6,6,1,1,4,21,
1,6,6,6,5,5,4,6,2,2,2,4,4,6,3,5,6,3,2,4,3,5,3,3,1,2,3,22,
1,5,5,6,5,2,4,5,5,5,3,5,5,5,2,3,4,4,4,2,1,4,3,5,4,2,3,20,
2,5,5,5,5,5,5,5,2,1,2,2,4,5,5,1,1,1,1,1,5,1,5,2,2,1,4,26,
3,4,5,5,5,4,4,5,4,4,5,4,3,NA,4,3,4,2,4,4,3,5,3,3,4,1,3,19,
3,6,5,5,5,4,4,5,4,4,1,2,5,6,6,4,4,4,3,5,6,2,5,4,3,2,5,25,
1,5,6,4,6,5,3,3,4,5,1,1,5,6,5,4,6,6,5,6,6,2,6,5,1,2,5,28,
5,6,6,6,6,4,5,4,3,5,1,2,4,6,6,4,5,1,2,3,6,6,5,6,2,2,NA,17,
1,6,6,1,5,5,6,6,5,6,1,3,6,5,5,4,4,1,2,2,5,3,4,5,5,2,NA,16,
3,4,4,4,3,3,2,2,4,6,5,3,4,4,5,4,5,2,3,1,4,2,5,5,3,1,NA,17,
4,5,5,6,6,3,5,6,2,1,6,6,1,5,6,2,3,3,2,1,5,3,1,3,4,1,1,29,
3,4,4,3,4,4,4,4,4,3,3,4,3,4,3,4,4,3,3,3,4,3,4,4,3,2,2,19,
1,5,5,6,5,5,6,2,1,5,3,3,5,6,4,2,4,5,4,4,6,1,6,6,1,2,4,47,
1,5,5,5,4,4,4,4,2,2,4,4,4,2,5,1,2,1,1,2,4,2,5,6,2,2,4,52,
2,6,6,5,5,5,2,6,5,5,6,5,3,4,2,2,2,2,4,2,4,5,3,4,3,2,4,22,
3,5,6,4,5,4,3,5,3,4,1,2,4,5,4,2,3,5,4,3,4,3,5,6,5,1,3,18,
4,5,4,5,4,5,5,4,1,1,2,2,4,5,5,3,4,4,4,4,5,1,5,4,1,2,3,30,
2,6,4,2,5,5,5,4,2,4,2,4,3,2,6,2,5,6,5,2,6,1,6,NA,1,2,NA,17,
5,2,3,2,3,5,4,3,2,3,4,5,4,4,1,2,4,5,5,4,5,1,5,6,3,1,3,31,
1,6,5,6,5,5,6,6,2,1,5,2,5,1,6,5,4,5,4,2,6,5,3,6,5,1,2,56,
3,4,4,4,4,6,6,5,1,2,2,2,5,5,6,2,2,2,2,4,5,6,6,6,4,2,4,28,
1,6,6,4,6,4,5,5,2,3,1,1,6,6,5,3,5,5,2,2,5,5,6,6,NA,2,4,33,
3,5,6,6,6,3,5,3,2,2,2,4,4,4,4,2,3,1,2,3,5,5,4,5,NA,2,3,30,
1,6,5,4,5,6,5,5,1,2,1,4,1,5,4,2,4,4,2,6,2,1,4,6,4,2,3,23,
2,5,5,6,5,4,4,4,1,2,3,2,4,5,5,1,1,1,2,1,5,2,4,5,2,2,3,20,
1,6,6,6,6,5,4,6,1,2,1,2,6,6,6,1,4,4,1,1,5,4,6,4,4,2,2,27,
3,5,5,6,1,6,5,5,4,6,1,1,6,3,6,6,6,6,5,1,6,1,6,3,1,1,2,25,
2,4,4,6,2,5,5,5,2,1,3,6,5,4,5,5,5,6,5,5,5,2,4,6,1,2,2,27,
3,5,6,4,6,2,1,5,6,6,1,1,5,5,1,1,1,3,6,4,6,2,2,4,1,2,NA,56,
3,5,4,2,2,4,4,4,2,2,4,4,2,4,4,5,6,6,6,6,5,1,3,6,2,2,3,18,
2,5,3,2,2,5,3,4,4,4,2,2,4,4,5,2,2,4,2,2,4,2,5,6,1,1,1,18,
2,6,6,6,6,4,5,5,1,2,2,2,3,5,6,2,3,3,1,1,5,2,3,2,1,1,3,21,
2,2,6,2,2,6,6,6,1,2,6,2,6,1,6,5,5,5,5,1,6,1,6,6,1,1,2,19,
2,6,6,6,6,4,5,4,2,2,1,1,5,6,5,2,2,2,1,2,4,1,5,5,4,2,2,18,
5,2,2,2,5,5,5,6,2,5,4,5,3,3,3,5,5,5,6,5,5,1,5,6,1,1,4,29,
4,4,4,4,4,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,1,4,33,
3,3,4,6,3,4,4,3,4,4,5,5,2,3,5,4,5,4,4,2,5,2,3,4,3,1,3,31,
1,6,5,6,5,5,5,5,2,4,2,2,5,5,5,2,4,2,4,1,5,1,6,6,1,2,5,33,
2,NA,5,5,2,5,5,6,1,2,6,5,2,4,5,2,2,4,2,4,4,1,NA,4,4,2,5,28,
4,5,5,6,4,4,4,3,3,4,6,6,3,2,3,4,4,3,3,5,NA,4,3,6,2,2,3,21,
1,5,4,5,6,6,6,2,6,6,1,1,6,6,6,6,6,6,6,5,6,5,6,6,1,2,4,45,
2,2,5,4,4,5,5,4,3,5,5,5,4,5,4,3,2,4,4,2,6,2,6,6,2,2,5,44,
1,6,6,6,4,5,5,3,4,5,4,4,4,5,3,4,4,5,6,4,6,1,6,6,1,2,3,18,
2,6,5,5,6,4,6,5,1,2,3,2,5,5,5,1,2,3,NA,2,5,2,6,4,2,2,5,27,
4,4,3,2,3,4,4,5,2,3,2,4,4,1,5,6,6,5,5,5,4,1,5,5,4,2,4,45,
1,4,6,6,6,5,6,4,1,1,3,4,6,6,6,1,3,3,4,2,6,1,6,5,1,2,2,18,
2,6,6,6,5,4,6,6,2,5,6,6,2,3,4,5,NA,5,5,6,6,4,1,6,4,2,3,24,
3,2,6,1,6,3,1,5,2,5,3,5,2,4,5,5,6,6,6,5,NA,2,1,6,1,2,2,48,
3,5,5,5,5,3,5,5,2,1,1,1,5,6,5,6,6,5,5,3,5,5,6,6,4,2,3,29,
1,6,6,6,6,6,6,6,1,1,5,1,6,6,6,1,6,1,1,1,6,1,3,6,1,2,1,51,
2,5,5,6,4,3,3,4,4,2,5,5,4,3,3,2,4,5,6,4,4,5,4,5,4,2,2,50,
1,5,4,3,2,6,5,2,1,5,2,2,1,2,2,4,4,5,5,2,4,3,4,5,3,2,2,36,
3,5,3,4,4,3,2,5,4,5,2,5,3,3,4,4,5,4,2,2,4,5,3,5,4,2,NA,18,
1,5,5,5,5,4,1,2,6,3,2,1,5,3,6,6,5,2,4,NA,6,1,6,6,1,2,4,52,
2,4,2,6,5,5,4,4,6,5,5,6,3,3,5,4,4,4,3,4,3,2,2,2,4,2,5,38,
1,6,5,6,5,5,6,4,2,4,1,1,5,6,6,2,2,4,2,2,4,5,6,5,1,2,3,17,
2,4,4,6,5,4,4,4,3,4,1,1,5,5,6,2,4,3,3,1,6,1,6,4,2,2,5,53,
1,5,5,5,5,5,4,5,3,3,3,2,5,5,5,5,5,4,4,3,6,4,6,6,2,2,5,35,
2,4,5,6,5,4,3,3,5,5,5,4,5,3,1,3,4,4,5,5,4,2,4,5,2,2,3,21,
5,5,5,6,5,4,5,6,4,3,5,4,4,4,6,6,6,6,5,4,3,6,3,5,4,1,3,29,
2,5,5,6,5,6,6,5,1,3,1,1,4,4,6,4,4,1,5,3,5,2,4,6,1,2,5,36,
2,5,1,6,4,4,4,6,4,2,4,3,4,5,4,3,5,4,4,4,4,4,5,5,4,2,3,19,
4,6,6,4,4,6,4,6,1,4,1,5,5,2,5,4,6,4,2,5,6,3,4,6,2,2,3,23,
2,5,5,6,5,5,5,5,1,1,2,2,4,5,4,3,4,4,4,4,4,3,4,5,3,2,2,39,
3,5,1,4,4,2,4,4,4,4,4,2,5,4,5,4,4,5,2,1,5,1,6,5,1,2,3,19,
2,5,5,4,5,4,4,5,3,2,4,5,5,6,3,5,6,2,1,4,4,5,4,3,3,2,NA,17,
2,3,6,4,5,3,3,5,3,4,3,1,6,5,6,1,2,4,4,1,6,5,6,6,4,2,3,18,
1,5,5,6,5,5,5,5,2,4,4,NA,4,5,3,3,5,4,4,4,5,5,4,5,3,2,3,25,
4,2,5,5,5,4,4,3,4,6,4,2,3,3,4,2,2,4,3,2,4,3,3,5,4,2,NA,15,
1,5,5,5,4,5,4,5,4,5,5,5,1,2,4,5,5,2,3,3,4,2,5,6,1,1,3,20,
2,5,5,6,6,4,5,2,4,4,6,5,5,4,4,1,3,4,4,6,5,2,5,5,3,2,NA,14,
4,3,6,6,6,5,6,5,1,3,1,1,3,5,6,1,6,4,2,1,5,1,5,1,2,2,3,20,
3,4,6,6,6,6,4,5,1,2,4,1,5,4,5,5,5,4,4,6,4,4,5,5,2,1,1,25,
1,6,1,6,5,4,1,2,5,6,1,1,5,5,6,2,4,6,6,5,6,1,6,6,1,2,5,64,
1,5,3,6,5,2,5,5,1,2,2,4,6,5,5,1,2,2,3,3,6,1,5,6,1,2,2,18,
1,6,6,4,5,4,5,2,3,6,3,4,4,6,4,2,4,4,2,5,5,1,4,5,2,2,3,20,
4,5,2,6,5,3,2,4,3,6,1,5,4,3,2,5,6,2,2,5,4,2,4,5,3,2,1,19,
1,6,5,3,6,5,6,6,1,2,4,4,4,6,5,4,4,3,2,1,6,1,5,6,1,2,5,32,
NA,5,4,3,4,4,3,3,3,4,4,2,4,4,4,3,3,4,3,2,5,2,4,4,3,1,2,49,
4,6,5,6,6,5,5,5,5,4,1,1,6,6,6,4,4,6,4,1,6,2,6,6,2,1,2,45,
1,6,5,2,2,4,1,5,6,6,6,6,3,2,1,4,5,5,5,2,5,6,5,6,2,1,1,18,
6,6,6,6,6,3,6,2,5,5,2,2,6,6,6,6,6,6,6,6,6,5,5,6,2,2,5,28,
1,4,2,5,3,5,5,5,3,4,4,5,3,3,2,2,2,3,4,5,4,2,4,5,2,2,5,22,
3,5,4,4,3,5,5,4,2,4,5,2,3,4,4,4,4,4,3,2,6,1,5,5,2,2,4,25,
1,6,6,6,6,6,5,4,1,1,1,1,6,6,6,1,1,1,1,1,6,1,6,6,1,2,5,34,
2,5,5,5,3,5,5,5,1,4,4,4,3,3,5,4,4,4,4,2,6,1,5,4,1,2,5,42,
1,5,3,5,4,5,4,3,1,4,3,2,4,5,5,3,4,2,3,2,5,4,4,5,1,2,3,37,
1,6,5,6,6,6,6,6,1,1,1,1,4,6,5,1,1,1,1,1,6,1,6,6,1,2,3,42,
1,5,5,6,4,5,5,4,1,1,3,3,3,4,5,2,2,2,2,4,5,1,5,5,1,2,5,23,
4,4,5,1,5,5,4,4,2,5,1,4,6,6,5,3,4,4,2,5,3,3,5,6,5,2,4,29,
2,3,4,1,2,3,5,3,1,1,6,6,1,2,3,1,1,2,2,2,5,2,3,5,3,1,2,18,
2,6,6,4,6,6,5,5,3,2,1,1,3,6,5,1,1,1,1,1,5,1,5,1,6,2,3,22,
4,6,6,6,5,4,5,6,NA,1,1,3,6,6,6,1,6,6,3,4,6,1,6,5,1,2,3,30,
4,4,4,4,5,5,5,4,2,3,4,2,4,4,5,2,4,5,4,5,4,1,4,5,3,2,3,38,
2,6,5,6,3,5,6,5,2,3,3,2,5,5,5,3,5,5,1,4,4,2,4,6,2,2,2,53,
2,4,4,6,NA,5,4,5,4,4,6,4,4,5,2,1,2,3,4,2,3,1,2,4,5,1,3,28,
5,6,6,5,6,5,6,2,2,4,3,4,5,5,5,3,3,2,4,3,6,4,5,6,4,1,3,18,
1,5,6,6,6,6,5,5,1,1,2,4,5,6,5,2,3,2,2,4,5,1,4,5,2,2,4,31,
2,5,5,4,6,5,5,5,2,2,5,4,5,4,5,1,1,1,1,3,5,4,4,4,2,2,1,32,
4,4,4,NA,5,4,4,4,NA,3,4,2,4,NA,5,4,4,4,4,4,5,4,NA,5,2,2,5,40,
1,6,5,5,6,3,4,5,5,6,4,5,6,6,4,4,4,4,6,4,6,1,6,6,3,2,NA,15,
4,2,4,6,5,5,5,4,1,2,3,2,3,5,5,3,4,2,1,1,3,4,1,4,2,2,2,23,
2,5,5,4,4,2,3,3,4,3,1,6,4,3,6,4,5,4,4,2,6,2,5,6,2,2,4,34,
2,6,6,6,6,5,5,5,1,5,5,1,5,5,6,5,5,5,4,2,6,2,6,5,1,1,5,29,
1,6,2,6,5,5,5,5,4,2,2,6,1,4,5,4,2,1,2,3,6,5,3,6,5,2,3,51,
1,6,6,6,6,6,5,3,3,4,2,1,5,5,6,2,4,4,3,1,6,1,6,6,2,2,3,22,
2,5,5,6,4,4,5,4,2,3,2,3,4,4,5,3,3,1,1,2,5,1,4,4,2,2,3,38,
3,3,6,2,6,3,4,3,4,4,1,1,6,6,5,3,3,4,1,2,NA,4,6,5,2,2,5,26,
4,4,NA,3,4,5,3,4,3,3,2,2,3,3,5,3,3,2,2,2,5,2,3,4,5,2,2,36,
1,5,3,4,4,6,4,4,1,1,3,4,3,5,5,3,3,3,1,3,4,4,3,4,3,2,3,19,
2,6,5,4,5,5,2,5,3,2,2,4,4,6,4,5,5,4,4,5,2,4,4,5,3,2,3,33,
1,5,5,6,5,5,4,4,4,4,1,2,4,6,4,4,5,5,3,5,2,2,6,5,2,2,1,40,
3,4,3,5,5,3,2,2,3,2,4,2,3,4,3,2,3,2,3,1,5,3,4,4,4,2,5,26,
1,6,6,5,2,4,2,2,5,4,6,1,5,6,1,3,5,4,4,2,6,1,4,6,3,2,NA,12,
3,5,5,4,4,5,5,6,1,1,2,1,4,5,5,4,4,2,1,2,5,1,5,5,1,2,3,30,
2,6,5,5,6,5,4,2,2,4,2,4,5,5,3,1,NA,1,1,2,4,2,4,5,3,2,1,59,
4,5,5,4,5,2,6,6,1,1,6,1,5,5,5,4,5,3,4,5,6,1,6,5,1,2,3,32,
4,3,2,5,3,4,2,4,4,5,5,4,4,4,2,5,4,5,5,3,6,1,6,6,3,1,2,30,
1,4,6,5,6,5,6,5,1,1,2,2,6,6,4,4,4,2,1,1,5,1,6,5,2,2,4,32,
1,5,6,6,3,5,5,4,2,4,1,3,4,5,5,5,5,4,5,5,5,2,5,6,1,2,5,29,
3,4,4,5,4,5,5,6,1,2,3,3,2,4,5,4,4,4,2,1,5,3,2,3,4,1,3,27,
3,4,5,2,3,5,3,4,1,1,6,5,2,1,3,3,3,2,3,2,5,5,2,2,5,2,3,48,
1,6,5,6,5,4,4,5,2,5,3,2,5,5,4,1,1,1,1,1,6,1,4,5,2,2,4,39,
3,6,6,6,4,5,2,5,4,3,4,2,3,4,5,4,4,6,5,4,3,6,1,5,4,2,3,22,
1,6,3,5,3,2,3,2,3,4,4,2,3,3,4,4,6,6,6,6,6,1,4,6,1,2,3,26,
1,2,1,4,2,6,5,5,1,1,6,6,4,1,3,2,5,1,5,5,6,1,5,6,1,2,3,26,
3,5,5,6,3,5,2,4,1,5,1,1,3,3,5,5,5,2,2,2,6,1,6,4,1,2,2,39,
4,6,5,6,6,5,3,2,3,5,1,2,3,4,5,4,4,5,1,5,6,3,4,4,5,2,3,32,
1,5,6,6,6,1,5,6,4,1,6,6,3,2,5,4,1,2,6,6,6,5,2,6,5,2,3,52,
3,5,5,6,5,5,4,5,2,3,2,4,4,5,4,4,5,5,5,4,5,2,3,5,4,2,3,40,
3,6,5,6,6,5,6,5,1,3,1,2,5,6,6,2,4,3,2,2,5,3,5,4,3,2,2,40,
1,6,6,6,6,1,5,6,1,1,1,6,5,5,1,1,3,1,2,1,6,1,5,6,1,2,3,40,
1,6,4,6,6,5,6,4,3,4,3,2,5,6,2,5,6,6,6,6,6,6,6,6,1,2,3,40,
3,6,5,6,5,5,6,6,1,2,1,2,5,6,6,5,2,1,NA,4,4,5,6,5,4,2,2,24,
1,6,6,5,6,6,5,6,2,2,5,4,5,3,3,1,5,5,5,6,6,5,3,6,1,2,3,23,
5,NA,5,6,5,6,6,5,NA,2,5,2,6,3,6,4,NA,NA,4,1,6,1,3,2,1,2,3,26,
5,NA,5,6,5,6,6,5,1,2,5,2,6,3,6,4,3,2,4,1,6,1,3,2,1,2,3,26,
2,6,6,6,6,6,6,5,1,1,1,1,6,5,6,1,1,2,2,1,6,1,6,5,1,2,2,51,
NA,6,6,6,6,4,5,4,1,1,4,1,6,6,6,1,3,3,2,NA,6,1,3,4,1,2,1,39,
1,6,6,6,6,6,5,4,2,3,1,1,6,6,5,1,2,2,1,2,5,1,6,5,3,2,3,20,
2,6,5,6,5,5,4,1,3,1,4,1,6,6,5,5,5,5,5,5,4,1,6,5,5,2,1,19,
2,5,2,4,2,2,3,2,3,5,5,5,4,2,5,3,4,4,4,4,5,3,5,5,2,1,5,28,
2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,2,5,3,5,2,5,2,5,6,1,1,1,35,
2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,4,2,5,2,5,2,5,6,1,1,1,35,
2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,4,3,4,2,5,2,5,6,1,1,1,35,
2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,5,4,4,2,5,2,5,6,1,1,1,35,
2,5,5,5,5,5,6,4,2,4,2,2,4,2,4,1,5,4,4,2,5,2,5,6,1,1,1,35,
2,5,5,5,5,5,6,4,2,4,2,2,4,3,5,1,5,4,4,2,5,2,5,6,1,1,1,35,
2,5,5,5,5,5,6,4,2,4,2,2,4,3,5,1,5,4,4,2,5,3,5,6,2,1,1,35,
2,5,2,6,5,2,2,2,4,5,2,1,4,5,2,2,2,2,2,1,6,5,2,3,4,2,4,32,
4,5,6,6,3,6,6,6,1,1,2,4,4,5,6,6,6,6,3,2,6,1,6,6,1,2,3,24,
2,6,6,6,5,6,5,6,4,4,4,1,4,6,5,1,1,1,5,1,6,1,6,6,1,2,1,23,
5,4,5,6,4,6,5,6,1,3,5,5,5,5,6,6,6,4,6,5,5,6,4,6,1,1,3,39,
2,5,6,5,5,4,5,5,1,NA,6,5,3,2,5,4,4,1,1,1,6,1,4,6,1,1,4,48,
1,4,4,5,4,2,5,2,4,3,6,5,3,5,5,6,6,6,5,6,3,6,4,5,2,2,1,26,
4,4,4,5,5,4,4,4,2,4,4,5,4,5,5,4,4,5,3,2,4,5,5,4,2,1,3,28,
1,6,6,6,5,6,5,6,5,4,5,1,5,6,5,1,1,2,5,1,6,4,6,6,2,2,1,23,
2,6,6,5,4,4,3,5,1,2,5,2,4,2,5,1,1,1,5,1,5,6,2,5,2,1,3,24,
2,5,6,6,5,4,4,4,2,4,3,3,5,5,5,2,3,2,2,1,4,2,5,5,3,2,3,29,
5,4,2,2,1,4,4,3,6,6,4,1,4,2,6,6,6,6,6,6,6,3,1,6,1,2,NA,19,
6,1,1,4,1,6,6,6,1,1,6,6,1,1,2,1,1,1,1,1,6,5,6,6,4,1,3,29,
1,6,6,6,5,6,6,6,1,1,2,3,6,5,6,3,3,3,1,2,6,1,6,5,1,2,3,26,
4,4,3,4,2,3,4,4,5,5,6,5,2,2,2,5,4,4,5,5,5,5,4,4,3,2,NA,15,
4,5,5,5,4,5,5,4,3,3,3,2,5,5,6,4,2,3,1,3,4,1,5,NA,2,2,3,37,
3,6,6,6,5,5,5,5,1,2,1,1,5,5,6,4,4,3,2,1,6,1,5,5,1,1,3,30,
5,6,5,6,5,5,5,5,4,3,3,2,5,6,5,2,3,2,5,4,6,1,5,2,1,2,3,36,
1,6,5,6,5,6,4,5,1,1,1,1,5,5,6,4,5,4,1,5,5,6,5,5,2,2,3,33,
2,5,4,6,5,3,5,5,1,2,4,3,2,5,6,2,2,1,1,2,5,2,4,3,4,1,3,23,
1,6,6,6,6,1,6,6,1,1,1,1,6,6,6,1,4,5,1,1,6,1,6,6,1,2,2,22,
2,5,6,5,4,6,6,4,1,5,1,2,4,5,5,5,5,5,2,2,6,1,6,6,1,2,3,17,
2,2,2,1,3,3,4,2,5,5,5,6,2,1,1,2,3,1,2,5,6,2,6,6,1,1,2,28,
5,4,4,4,3,6,6,6,1,6,3,2,4,4,5,6,6,4,4,3,6,3,5,4,3,2,3,36,
2,5,4,4,6,4,3,3,2,4,3,2,4,5,3,1,1,2,4,2,3,4,5,5,3,2,3,29,
2,5,5,5,5,2,1,2,5,4,5,5,5,4,2,5,5,5,6,4,5,6,4,6,2,2,5,59,
1,5,6,6,5,5,5,6,1,3,3,3,5,6,5,1,2,1,2,2,6,2,5,6,2,2,3,19,
3,6,5,6,6,5,3,3,2,2,1,3,6,4,6,5,6,4,5,5,6,1,5,6,1,1,3,27,
1,5,1,5,5,5,4,3,2,2,2,4,3,5,4,1,3,5,2,4,4,2,4,5,2,2,4,41,
1,5,6,5,5,5,4,4,1,4,1,2,3,6,4,1,1,1,1,2,4,1,4,5,2,2,4,27,
2,6,NA,5,5,6,5,6,2,3,1,1,6,6,6,2,3,4,1,2,6,6,5,4,2,2,2,24,
2,5,5,5,4,6,2,4,2,5,1,2,5,5,5,4,5,5,5,4,6,2,5,6,1,2,5,60,
1,5,5,6,6,6,1,5,3,1,6,6,1,5,1,4,5,5,6,1,6,5,1,6,4,2,3,52,
1,5,6,6,6,6,5,6,1,2,1,1,5,6,NA,2,4,2,3,5,6,4,6,6,1,2,3,21,
3,5,5,6,5,5,5,3,4,1,4,3,4,4,5,5,6,6,2,2,5,2,5,6,3,2,3,20,
2,6,6,6,6,5,5,3,1,1,1,4,5,6,4,1,1,1,1,1,5,1,5,3,4,2,3,25,
1,6,5,6,6,5,6,5,1,1,3,4,3,6,4,3,4,4,3,5,3,3,4,5,4,2,3,24,
2,2,4,3,2,4,3,4,3,4,4,2,1,5,4,4,4,4,5,1,3,2,2,4,4,2,2,25,
2,4,4,3,3,4,2,4,4,2,5,3,3,4,4,2,3,3,3,3,4,2,3,3,3,2,2,30,
4,2,1,3,1,3,1,2,4,2,3,4,1,3,2,4,5,4,3,3,2,4,2,6,2,2,3,19,
6,5,5,6,6,3,1,4,5,2,3,1,6,5,3,1,1,4,3,1,6,6,6,6,3,1,3,17,
2,6,6,6,6,6,6,6,1,1,3,6,6,1,6,4,4,1,1,3,6,1,6,2,1,2,3,52,
2,5,6,5,4,4,3,4,5,4,1,2,4,6,5,6,6,6,3,2,4,3,2,3,5,2,3,27,
1,6,6,6,6,6,6,5,1,4,1,1,6,6,6,4,6,5,2,4,6,5,6,6,1,2,3,55,
