word,length,M AROU,SD AROU,N AROU,M VAL,SD VAL,N VAL,M DOM,SD DOM,N DOM,M CNC,SD CNC,N CNC,M IMAG,SD IMAG,N IMAG,M FAM,SD FAM,N FAM,M AOA,SD AOA,N AOA,M SIZE,SD SIZE,N SIZE,M GEND,SD GEND,N GEND
catch (drawback),5,4.1563,1.9702,32,2.8065,1.2292,31,3.6774,1.6731,31,2.7813,1.6721,32,2.4667,1.2311,30,4.25,1.8371,32,4.5938,1.6557,32,4,1.5,32,4.2813,1.0073,32
catch (restraint),5,4.9394,1.8247,33,4.0606,1.2045,33,4.4242,1.9853,33,4.375,1.5762,32,4.303,1.5664,33,5.25,1.6771,32,4.2059,1.6765,34,3.9091,1.2398,33,4.5588,1.0625,34
catch (romantic),5,6.4118,1.734,34,7.4286,1.3791,35,5.25,1.854,32,2.9706,1.465,34,3.9032,1.7844,31,3.875,1.691,32,5.4286,1.1535,35,4.7059,1.2012,34,3.3235,1.5852,34
caterpillar,11,3.5625,1.6382,32,5.75,1.199,32,5.3667,1.4716,30,6.7813,0.5987,32,6.875,0.3307,32,5.5,1.6583,28,2.4063,0.8609,32,1.4839,1.0433,31,3.9394,0.8142,33
cathedral,9,4.0294,2.3824,34,5.8,1.4102,35,4.4848,1.8111,33,6.4118,0.8784,34,6.4412,1.0898,34,4.9714,1.6985,35,4.2,1.1904,35,5.6471,1.4528,34,3.6667,0.9744,33
cattle,6,3.2424,1.6336,33,5.2647,1.0657,34,5.3438,2.2024,32,6.4848,0.9885,33,6.2188,1.192,32,5.1071,1.6975,28,3.7059,1.2955,34,4.2424,1.8591,33,4.5588,1.1165,34
caught,6,5.1176,1.6407,34,3.3235,1.2059,34,3.0882,1.7883,34,4.0857,1.3809,35,4.2727,1.6006,33,5.6333,1.3034,30,2.7714,1.2668,35,3.9143,1.2041,35,4.3529,0.6363,34
cauliflower,11,3.1515,2.451,33,5.6875,1.6852,32,5.6364,1.4316,33,6.6667,0.804,33,6.6061,1.1265,33,5.4333,1.7829,30,3.2059,1.4709,34,2.4848,1.2339,33,3.3438,1.0491,32
caution,7,5.6875,2.2699,32,4.1818,1.7313,33,3.4242,1.6702,33,2.6571,1.2636,35,3.4412,1.7183,34,5.1212,1.6834,33,4.2353,1.1646,34,4.9091,1.1642,33,4.1818,1.2174,33
cautious,8,4.2813,1.7719,32,4.6875,1.3332,32,3.9412,1.748,34,2.6176,1.3936,34,3.3636,1.3216,33,5.6364,1.2984,33,4.4118,1.1145,34,3.6667,1.2713,33,3.75,1.0607,32
cave,4,4.2353,2.3771,34,4.7143,1.5413,35,4.5625,1.9675,32,5.9063,1.3313,32,6.3636,1.176,33,5.5161,1.5631,31,2.9714,0.9706,35,5.0882,1.8209,34,4.9143,1.2955,35
caviar,6,3.5152,2.1479,33,5.4516,1.7751,31,5.1333,1.6879,30,6.3939,0.8856,33,5.7742,1.3127,31,3.5,1.8613,28,5.9091,1.2398,33,2.5517,1.7924,29,3.3125,0.768,32
cavity,6,3,1.7922,33,3.0303,1.5272,33,4.1818,1.6228,33,5.7879,1.1483,33,5.1471,1.8492,34,4.0938,1.809,32,5.6286,1.2892,35,2.9688,1.7586,32,4.2813,0.6242,32
cease,5,4.0645,2.0625,31,3.6471,1.2807,34,4.7059,1.9179,34,3.7419,1.6842,31,2.7188,1.4412,32,4.1724,1.7033,29,5.4706,1.3114,34,4.125,1.536,32,4.3939,1.0132,33
ceiling,7,2.9677,1.9258,31,4.9706,0.747,34,4.6875,1.7399,32,6.7273,0.5653,33,6.0968,1.2535,31,5.7097,1.2493,31,2.8857,1.0357,35,4.7097,1.3,31,3.9394,1.1791,33
celebrate,9,7.3125,1.3793,32,8.1818,0.757,33,7.129,1.1844,31,4.2581,1.4135,31,5.2813,1.5255,32,6.3103,0.9862,29,3.4516,1.2402,31,5.4516,1.2139,31,3.4375,1.3214,32
celebration,11,7.4,1.5892,35,8.2941,0.8235,34,6.4286,1.6782,35,4.3714,1.6051,35,5.9143,0.8741,35,5.9032,1.0581,31,3.5429,1.0782,35,5.7353,1.244,34,3.4242,1.0453,33
celebrity,9,5.3333,2.2247,33,5.1471,2.0455,34,4.4688,2.1648,32,4.1,1.9209,30,5.6452,1.3807,31,5.8214,1.7739,28,4.5429,1.3168,35,4.9697,1.7664,33,3.0303,0.9687,33
celery,6,3.1818,2.1806,33,4.9091,1.2398,33,5.2647,1.7373,34,6.6875,0.6818,32,6.625,0.927,32,5.7586,1.59,29,3.2727,1.309,33,2.4848,1.3055,33,3.2353,1.0588,34
cell,4,3.9706,1.9924,34,4.5,1.6494,34,3.8235,2.2159,34,5.8235,1.0702,34,5.7353,1.1455,34,5.0606,1.4759,33,4.6176,1.3723,34,2.8529,1.8807,34,4.4848,1.0187,33
cell (biological),4,3.6765,1.9811,34,5.7714,1.4557,35,4.625,2.1028,32,5.5429,1.7295,35,5.1176,1.6762,34,5.4848,1.5977,33,5.7879,1.0943,33,2.4545,2.0903,33,3.8857,0.9187,35
cell (jail),4,3.4375,2.0606,32,2.3636,1.1233,33,3.1212,2.1143,33,6.4706,0.813,34,6.375,1.2183,32,5.0313,1.8112,32,3.9412,1.413,34,3.25,1.7678,32,5.4118,0.9113,34
cellar,6,3.303,1.8004,33,4.1765,1.5237,34,4.3125,1.2103,32,6.1429,1.1986,35,6.2258,0.8312,31,4.7097,1.5902,31,4.2353,1.113,34,3.697,1.4665,33,4.5455,0.8199,33
cello,5,3.6875,2.1714,32,5.8235,0.9843,34,5.1765,1.2712,34,6.7059,0.6655,34,6.5455,0.9563,33,4.2,1.99,30,4.1765,1.2478,34,4.2188,1.452,32,3.3636,1.0096,33
cells,5,4.4516,1.8637,31,5,1.5706,30,4.1667,1.6948,30,5.7667,1.2565,30,4.8667,1.335,30,5.7407,1.4806,27,4.9688,1.3803,32,2.3226,1.7112,31,4.2222,0.8749,27
cement,6,2.8824,1.6586,34,4.7576,0.8887,33,5.1563,1.6791,32,6.625,0.696,32,6.5429,0.7307,35,4.9375,1.9193,32,3.7647,0.9719,34,4.2353,1.5541,34,5.6364,1.0096,33
cemetery,8,3.9143,2.3588,35,2.5429,1.8102,35,3.2857,1.6137,35,6.3824,1.1635,34,6.6286,0.7205,35,4.7941,1.6765,34,4.0571,1.351,35,5.2941,1.2725,34,4.4286,1.0767,35
cervix,6,4.5,2.4238,32,5.4063,1.2212,32,5.0909,1.8968,33,6.1212,1.2494,33,5.4063,1.3888,32,4.7273,1.7281,33,6.2727,0.8266,33,2.8125,1.57,32,1.4242,0.8539,33
chain,5,4.6286,2.2814,35,4.0294,1.1754,34,4.6765,2.3354,34,6.3429,1.0404,35,6.3143,1.0895,35,5.7353,1.6144,34,3.1429,1.0182,35,3.4412,1.5754,34,4.4706,1.2184,34
chair,5,3.4063,2.248,32,5.3438,0.775,32,5.5152,1.7429,33,6.6563,0.6896,32,6.6,0.9008,35,6.5517,0.968,29,2.1429,1.0459,35,3.1563,1.1755,32,4.4242,0.9857,33
chair (head),5,3.9429,1.7879,35,5.6563,1.1621,32,4.9,2.1346,30,4.8966,1.6262,29,3.9032,1.9068,31,4.3548,1.7879,31,5.5806,1.2385,31,4.1613,1.8156,31,4.8125,1.2609,32
chair (seat),5,2.6765,1.4697,34,5.2941,0.7487,34,5.6061,1.4759,33,6.6667,0.7654,33,6.6571,0.9545,35,6.4063,0.9956,32,1.6857,0.708,35,3.1765,1.5043,34,3.9688,0.6366,32
chalice,7,5,2.1292,30,5.5667,1.8741,30,5.7857,1.5892,28,5.3929,1.8582,28,5.5806,1.8798,31,2.9697,1.8665,33,6,1.1072,31,3.25,1.5952,28,3.8667,1.5649,30
chalk,5,3.7,1.5308,30,5.1034,0.4021,29,5.1034,1.0937,29,6.6786,0.5381,28,6.4615,0.6343,26,4.6957,1.5445,23,2.7813,0.7388,32,2.0333,1.016,30,3.72,0.6013,25
chameleon,9,5.4194,2.3109,31,5.6129,0.9731,31,5.7931,1.7096,29,6.125,1.0825,32,6.5862,0.7664,29,4.6,2.01,30,4.1875,1.2103,32,3.0625,1.6382,32,4.1563,1.2018,32
champion,8,7.2353,1.5541,34,8.0303,1.0584,33,7.0625,1.7309,32,4.7879,1.7013,33,5.7059,1.5249,34,5.75,1.4299,28,3.5,0.9156,34,5.9091,1.1899,33,5.4545,1.0177,33
chance,6,5.9091,2.0503,33,6.4857,1.3389,35,4.2188,1.9643,32,2.4,1.3137,35,2.6364,1.6296,33,6.0645,1.3182,31,3.2647,1.093,34,4.6563,1.725,32,3.4194,0.7524,31
chandelier,10,5.0313,1.9762,32,5.6563,1.5126,32,4.9677,1.1773,31,6.6667,0.8409,33,6.5625,1.0588,32,4.9063,1.8262,32,5.1212,1.0374,33,4.0313,1.6674,32,2.75,1.1726,32
change,6,5,2.1702,31,5.3333,1.4702,33,5.2059,2.1933,34,3.2647,1.8037,34,2.8235,1.6174,34,6.3448,0.9201,29,2.7429,1.2034,35,5.0571,1.3297,35,3.5758,0.8887,33
change (coins),6,4.6061,1.9685,33,5.5152,1.0187,33,5.2813,1.5255,32,6.2941,1.0718,34,6.303,1.0867,33,6.2414,0.9704,29,3.5,1.2661,34,2.2647,1.093,34,4,1.0731,33
change (transform),6,5.8286,1.8437,35,6.5143,1.2041,35,6.2,1.737,35,3.7714,1.6403,35,4.2,1.4697,35,6.0938,1.2083,32,2.9412,0.9983,34,5.2286,1.2668,35,3.5429,0.9053,35
chaos,5,6.4412,1.9881,34,2.3438,1.2147,32,3.9063,2.2271,32,3.0588,1.6967,34,4.7879,1.7013,33,5.5667,1.4761,30,5,1.029,34,5.9412,1.0556,34,4.8788,1.1744,33
chaotic,7,7.3636,1.806,33,2.625,1.2183,32,4.0909,2.539,33,2.7143,1.845,35,4.6176,1.6806,34,5.0303,1.3593,33,4.9118,1.1972,34,5.8571,1.2454,35,4.5588,1.3104,34
chapel,6,3.7097,2.3854,31,5.4848,1.6537,33,4.2353,1.9861,34,6.3529,1.2575,34,6.303,0.904,33,4.6897,1.8773,29,3.7429,1.2949,35,4.4063,1.693,32,3.5333,0.9568,30
charge,6,4.3824,2.2494,34,4.7143,1.6137,35,6.2813,2.1684,32,4.1714,1.5764,35,3.5758,1.596,33,5.4138,1.4024,29,3.7714,1.2668,35,4.2353,1.3517,34,5.1176,1.0506,34
charge (card),6,3.6129,2.0585,31,4.3333,1.2202,30,5.0313,1.5709,32,3.8182,1.6041,33,4.2258,2.0432,31,5.5,1.5864,30,5.0303,1.3593,33,3.6129,1.3602,31,4.3226,0.9964,31
charge (dependent),6,3.5,2.0616,30,4.9375,1.4564,32,4.5333,2.4322,30,3.6875,1.9596,32,2.8438,1.6976,32,3.4545,1.8273,33,5.7188,1.0675,32,3.7419,1.3433,31,4.3793,1.2976,29
charge (electric),6,5.9091,2.2206,33,5.7429,1.2726,35,4.7419,1.7033,31,4.6364,1.7721,33,3.8125,1.8275,32,5.2903,1.7995,31,5.2059,1.4303,34,4.303,1.8172,33,4.75,1.118,32
charge (price),6,4,1.9322,30,4.1176,1.0222,34,4.1563,2.0783,32,4.5294,1.7529,34,3.9375,1.5799,32,5.6875,1.3332,32,4.0938,1.2339,32,4.375,1.0825,32,4.8857,0.9493,35
charge (rush),6,6.1,1.9891,30,4.2903,1.3,31,6.3667,2.041,30,4.2903,1.4186,31,4.7667,1.585,30,4.8,1.7963,30,4.7333,1.3646,30,5.0323,1.2044,31,5.0645,1.2935,31
charity,7,4.2647,2.0045,34,7.5152,1.1838,33,5.4,1.9596,35,4,1.867,35,4.0286,1.3625,35,5.9667,1.1686,30,4,1.1464,35,4.9429,1.4331,35,2.8571,0.7613,35
charlatan,9,4.7143,2.4764,28,2.75,1.299,28,4.6452,2.1183,31,3.75,1.7449,28,3.4286,1.8979,28,3.0625,2.0757,32,6.6333,0.6574,30,4.72,1.2172,25,4.3929,1.5888,28
charm,5,5.6875,2.3243,32,7.4848,1.1314,33,6,2.1213,32,2.5806,1.1577,31,4.2121,2.0708,33,5.96,1.3109,25,4.1765,1.3606,34,4.4063,1.6744,32,3.6471,2.0419,34
charm (lucky),5,6.4118,1.4373,34,7.5882,1.0323,34,5.1471,2.1438,34,3.2941,1.9179,34,4.8529,1.5172,34,5.4063,1.3661,32,3.5882,1.1145,34,3.7353,1.8037,34,3.2941,1.2492,34
charm (social allure),5,6.2059,2.4708,34,7.5714,1.1535,35,6.303,2.1389,33,3.0294,1.4035,34,3.6176,1.7659,34,5.1875,1.8614,32,4.6364,1.5139,33,5.0588,1.392,34,4.0294,2.0362,34
charming,8,6.8788,1.4514,33,7.5938,0.8609,32,6.0606,1.5164,33,3.1212,1.805,33,4.0606,1.5752,33,5.9,1.1358,30,4.4118,1.3745,34,4.8529,0.8448,34,5.0909,1.5248,33
chasm,5,5.72,2.1075,25,4,1.7638,27,4.7692,1.6941,26,4.2692,1.8924,26,4,1.6248,25,2.7,1.3204,30,5.92,1.1634,25,5.68,1.256,25,4.4545,1.2695,22
chauffeur,9,4.1176,2.0689,34,5.7647,1.5351,34,5.5758,2.4125,33,6.2258,0.9405,31,6.3438,0.7335,32,3.75,1.7854,32,5.5294,1.1176,34,3.9394,1.6319,33,5.6286,1.2441,35
cheap,5,5,1.954,33,5.303,1.7142,33,4.7188,2.0192,32,2.9063,1.6462,32,3.0909,1.5048,33,6.25,0.8712,28,3.3939,1.0714,33,2.9677,1.3792,31,4.1034,1.0287,29
check,5,3.4516,1.8288,31,5.0882,0.9193,34,4.9375,1.4987,32,4.2571,1.6792,35,3.6471,1.6066,34,5.5313,1.5408,32,3.3714,1.0443,35,3.6364,1.2509,33,4.0588,0.5912,34
cheek,5,4.5161,1.6436,31,5.0625,1.3905,32,5.1724,0.7909,29,5.9063,1.4439,32,6.1,1.106,30,6.0385,0.854,26,2.2,0.7024,30,2.4688,1.0893,32,3.2759,1.0471,29
cheer,5,7.0588,1.454,34,7.8571,0.9604,35,6.5143,1.4417,35,3.9143,1.6966,35,5.3429,1.5108,35,5.5,1.6073,30,3.0588,0.9375,34,5.2059,1.1576,34,3.0857,1.2041,35
cheer (happiness),5,7.5429,1.6097,35,8.5429,0.7307,35,7.0286,1.6985,35,3.6,1.7436,35,5.1765,1.3606,34,5.6667,1.4284,33,3.1143,1.1898,35,5.3824,1.2606,34,3.1471,1.141,34
cheer (support),5,7.4242,1.652,33,8.1515,0.8571,33,6.8182,1.4864,33,4.5152,1.4168,33,5.0303,1.5073,33,5.9063,1.259,32,3.0303,1.0584,33,5.1875,1.2359,32,2.8125,1.3564,32
cheerful,8,6.1714,1.5581,35,8,0.8745,34,6.8,1.2375,35,3.6176,1.8945,34,5.3143,1.4096,35,5.9677,1.2309,31,3.4286,0.9346,35,4.8824,1.2311,34,3.1429,1.0729,35
cheers,6,5.697,2.2894,33,7.3235,1.2537,34,6.1765,1.5429,34,3.5294,1.2888,34,3.8571,1.5701,35,5.8214,1.2263,28,4.2857,1.5779,35,4.7647,1.3074,34,4.8529,1.2398,34
cheese,6,5.4,1.8903,30,6.1071,1.4228,28,5.0714,1.1628,28,6.7727,0.5163,22,6.6154,0.6837,26,6.75,0.6982,20,2.2069,0.7602,29,2.5517,1.1622,29,3.963,0.5078,27
cheetah,7,5.625,1.7455,32,6,1.2309,33,4.8485,1.6352,33,6.5,0.9354,32,6.6875,0.6343,32,5.375,1.536,32,3.5294,0.8824,34,4.3871,1.5172,31,3.8788,1.3202,33
chef,4,4.6667,1.9332,33,5.8438,1.3255,32,5.6875,1.8781,32,6.5806,0.6104,31,6.4706,1.1176,34,5.7813,1.5759,32,2.9412,0.9375,34,3.6471,1.5508,34,5.7059,1.0718,34
chemist,7,3.5714,1.9898,35,5.8286,1.298,35,4.9118,2.0774,34,6.4,0.6414,35,6.0606,1.0132,33,5.871,1.699,31,4.6571,1.4529,35,3.8571,1.2905,35,4.3889,1.4197,36
chemistry,9,5.1935,2.3749,31,6.1667,1.7717,30,5.4545,1.7938,33,4.9063,1.7385,32,4.7879,1.7366,33,6.1786,1.1037,28,4.6875,1.3564,32,5.2424,1.3714,33,4.4375,1.3214,32
chemistry (rapport),9,5.6875,2.3906,32,6.6061,1.7397,33,5.5161,1.8469,31,3.2121,1.8871,33,3.6875,1.4671,32,5.1613,1.526,31,5.8182,1.1403,33,4.3125,1.2103,32,3.6875,1.3095,32
chemistry (science),9,4.7941,2.4105,34,5.5882,1.717,34,5.1875,1.7219,32,4.6571,1.9115,35,4.3125,1.8103,32,5.4516,1.6429,31,5.2857,0.8806,35,5.2424,1.7413,33,4.8235,1.224,34
cheque,6,4.75,2.2361,32,6.0303,1.3814,33,5.6129,1.8435,31,6.4839,0.7565,31,6.3333,0.7454,30,5.4333,1.6869,30,4.6364,0.9151,33,3.3548,1.5564,31,4.125,1.111,32
cherry,6,5.4857,2.0476,35,6.1515,1.3953,33,5.0323,1.2044,31,6.5882,0.7715,34,6.5938,0.9956,32,5.9375,1.5398,32,2.8571,1.0729,35,1.9394,1.4129,33,2.4118,0.943,34
chess,5,3.7576,2.0156,33,5.3529,1.3258,34,5.5625,1.6382,32,6.0909,1.055,33,6.4545,0.7003,33,5.1379,1.4556,29,3.9091,1.0258,33,3.2059,1.5488,34,4.9091,0.9,33
chest,5,5.6774,1.5322,31,5.1724,1.4638,29,5.3793,1.8646,29,6,0.9428,27,6.0714,0.9231,28,5.5926,1.163,27,3.0938,1.1821,32,3.9655,1.5862,29,3.8966,1.4226,29
chest (cabinet),5,3.0857,1.7464,35,5.2121,0.6857,33,5.3824,1.2606,34,6.1765,1.3166,34,6.3714,1.0166,35,5.625,1.536,32,3.1471,1.2633,34,3.8,1.7696,35,4.1212,1.1483,33
chest (torso),5,5.5294,2.3039,34,5.7647,1.3517,34,6,1.5763,33,6.7059,0.6655,34,6.3333,0.9101,33,6.1471,1.2633,34,2.9706,1.3609,34,4,1.1114,34,4.9697,1.6234,33
chestnut,8,3.6061,2.2822,33,5.4242,0.8176,33,5.303,1.1411,33,6.4706,0.7759,34,6.5625,0.7474,32,4.303,1.946,33,3.4412,1.2173,34,1.8857,1.3043,35,4.0625,0.8992,32
chew,4,3.9355,2.1393,31,5.3333,1.1721,33,6.0588,1.6617,34,4.8824,1.4505,34,5.1935,1.5538,31,6.1034,0.9946,29,2.2353,1.0862,34,2.3636,1.0959,33,4.1875,0.583,32
chewy,5,4.5806,1.3625,31,4.4,1.1719,30,4.5926,0.991,27,4.1935,1.3541,31,3.9375,1.56,32,5.0357,1.4756,28,2.871,0.9416,31,2.9688,1.1315,32,4.16,0.6119,25
chief,5,4.9688,2.3517,32,5.9714,1.5021,35,5.9143,2.8722,35,5.0294,1.5621,34,5.4848,1.2821,33,5.0345,1.6914,29,3.8571,1.1986,35,5.1765,1.5619,34,5.8824,1.0783,34
chihuahua,9,4.0323,2.469,31,5.0313,1.6861,32,5.6552,1.7276,29,6.7667,0.5588,30,6.8438,0.4408,32,4.871,2.1514,31,4.7273,1.3985,33,1.5333,0.8459,30,2.6875,1.0735,32
child,5,4.2258,2.0901,31,6.1935,1.5117,31,3.6774,2.1158,31,6.1667,0.969,30,6.6071,0.5567,28,6.4091,0.9844,22,2.4483,1.003,29,2.4194,0.9763,31,2.9286,1.1931,28
children,8,4.9677,1.9754,31,6.3,1.5524,30,4.4828,2.0278,29,6.0938,1.0112,32,6.037,1.0709,27,6.4783,0.9264,23,2.2903,0.9569,31,3.3438,1.6884,32,3,1.0171,29
chime,5,4.9032,1.9403,31,5.8529,1.3748,34,5.375,1.3636,32,4.8788,1.7539,33,4.7576,1.7758,33,4.0606,1.6132,33,4.6765,1.3874,34,2.9118,1.2216,34,3.3438,1.2147,32
chimpanzee,10,5.7667,2.3192,30,5.9677,1.2309,31,5.4667,1.4545,30,6.8,0.4,25,6.7692,0.4213,26,4.7241,1.72,29,3.3333,1.1926,30,4.2,1.249,30,4.6538,0.9978,26
chin,4,3.2258,1.6793,31,5.0645,0.5643,31,5.3667,1.3287,30,6.6429,0.6662,28,6.56,0.7526,25,5.8333,1.2134,24,2.4,0.8794,30,2.1333,1.0242,30,4.7097,1.0221,31
chip,4,4.0938,1.9583,32,5.875,1.4087,32,5.0968,1.0882,31,6.1563,1.1211,32,6.2813,1.2051,32,6,1.3166,30,2.6471,0.8705,34,2.0303,1.1674,33,4.6571,0.9545,35
chipmunk,8,4.0588,2.4125,34,6.375,1.5155,32,5.25,1.5811,32,6.875,0.3307,32,6.5588,0.6504,34,4.4545,1.9242,33,3.697,1.2428,33,2.1,1.193,30,4.1176,1.1052,34
chips,5,5,2.3238,30,6.1379,1.5251,29,5.5185,1.1665,27,6.4231,0.7929,26,6.5,0.888,26,6.3333,0.8975,24,2.5313,0.7493,32,2.4688,1.4358,32,4.4286,0.8631,28
chisel,6,3.5625,2.0907,32,4.9677,0.7398,31,5.129,1.6799,31,6.4688,0.9677,32,6.0968,1.2535,31,4.7241,1.5513,29,5.1,1.3,30,3.0333,1.3287,30,5.0968,0.8928,31
chocolate,9,7,1.6903,35,7.8286,1.1335,35,5.4706,1.7018,34,6.5,0.8489,34,6.8485,0.4349,33,6.7857,0.4897,28,2,0.8281,35,3.1515,1.3055,33,2.3429,1.0126,35
choir,5,4.6364,1.982,33,6.5882,1.2861,34,4.9688,1.237,32,5.6364,1.3216,33,6.2121,1.0662,33,4.8214,1.9649,28,3.5714,0.8379,35,4.697,1.4665,33,3.0938,1.3546,32
choke,5,6.1613,2.0806,31,2.4242,1.1018,33,3.0968,1.9068,31,4.3438,1.7068,32,4.6774,1.3769,31,4.88,1.5315,25,3.5484,1.1313,31,4.2,1.4922,30,4.4483,0.674,29
choked,6,5.4848,2.3241,33,2.1515,1.0765,33,3.303,2.4555,33,4.8438,1.4813,32,5.1212,1.7366,33,5.6552,1.6458,29,3.8235,1.5806,34,4,1.3504,34,4.7714,1.1486,35
choose,6,5,1.954,33,6.4242,1.2317,33,7.2353,2.0588,34,2.6765,1.1812,34,2.9118,1.5972,34,6.0667,0.9638,30,2.4706,0.8484,34,4.5758,1.4777,33,3.8235,0.8214,34
choral,6,4.1379,1.9779,29,5.7143,1.2206,28,5.4138,1.1301,29,4.2222,1.5713,27,3.5517,1.8305,29,2.3529,1.5882,34,5.9333,1.0306,30,4.2759,1.111,29,2.9333,1.1235,30
chord,5,4.9063,2.2271,32,6.0625,1.2231,32,5.5938,1.2465,32,5,1.6088,34,5.0882,1.837,34,5.1563,1.5433,32,4.5758,1.4149,33,2.8824,1.1823,34,3.871,1.0699,31
chose,5,4.6875,1.8781,32,6.0303,1.487,33,6.4545,1.7768,33,2.8485,1.2821,33,2.8438,1.6791,32,6,1.291,30,3.3529,1.2098,34,4.2903,1.0532,31,3.8387,0.6272,31
Christmas,9,7.5161,2.014,31,7.9143,1.3389,35,5.6765,1.936,34,4.9697,1.8004,33,6.5588,0.6941,34,6.7,0.6904,30,1.6,0.7635,35,6.3939,0.8856,33,3.7647,0.9094,34
chubby,6,4.0286,1.9344,35,3.2353,1.2847,34,3.9118,1.9609,34,4.8286,1.6985,35,6.0571,1.0404,35,5.2121,1.7366,33,3.4571,1.1299,35,4.5,1.5765,34,4.5143,1.1801,35
chunk,5,3.9412,1.9991,34,4.6765,1.104,34,4.8824,1.1823,34,4.6571,1.4529,35,4.5152,1.459,33,4.6061,1.7571,33,3.2857,1.0842,35,3.6765,1.7776,34,4.9063,1.0712,32
church,6,3.125,2.0117,32,4.4063,2.0134,32,3.1935,1.8565,31,5.8077,1.3593,26,6.5556,0.737,27,5.1538,1.7908,26,2.7333,1.0625,30,5.3438,1.2147,32,4.2069,1.2143,29
chute,5,4.7813,2.4461,32,5.3939,0.8142,33,5.2333,1.1743,30,5.9063,1.3077,32,5.3226,1.8384,31,4.1875,2.0377,32,3.871,1.8964,31,3.8485,1.5977,33,4.0323,1.0312,31
cigar,5,5.0313,1.6295,32,4.0323,1.7318,31,5.8333,1.6948,30,6.6207,0.6651,29,6.5926,0.6809,27,4.0769,1.8795,26,4.6563,1.3831,32,2.0667,1.1528,30,6.0385,0.7586,26
cigarette,9,4.9688,2.4301,32,2.9355,1.6836,31,3.9677,2.0238,31,6.7143,0.6281,21,6.7083,0.8406,24,5.8696,1.5124,23,3.75,1.479,32,2.3226,1.4455,31,4.5517,1.4284,29
cinema,6,5.7059,1.9483,34,6.6364,1.0096,33,5.2286,1.3112,35,6.5455,0.7003,33,6.5455,0.7423,33,6.0667,1.0306,30,3.1429,0.9604,35,5.2286,1.3541,35,3.6857,0.622,35
circle,6,4.069,1.7798,29,5.7667,1.0225,30,4.9655,1.5643,29,4.931,1.7005,29,6.8214,0.467,28,6.16,1.0461,25,2.1613,0.8834,31,3.7241,1.1416,29,3.8182,0.575,22
circuit,7,3.5625,1.7128,32,4.9394,0.9829,33,4.6667,1.6081,33,4.9412,1.5135,34,4.6176,1.5907,34,5.129,1.6606,31,5.5588,1.2173,34,4,1.6697,33,4.8529,1.2159,34
circular,8,3.7273,1.8631,33,5.4242,0.7398,33,5,1.2309,33,5.2903,1.6103,31,5.6875,1.4238,32,5.3226,1.5531,31,3.7647,1.1646,34,3.7647,1.3945,34,3.5758,0.7797,33
circulate,9,4.0645,1.8128,31,5.4118,1.0323,34,5.2727,1.1618,33,3.4118,1.4974,34,3.8286,1.6645,35,4.0294,1.7233,34,5.4242,1.3933,33,4.1875,1.3332,32,3.6875,0.8077,32
circulation,11,4.6286,1.7742,35,5.8333,1.236,36,5.2286,2.0575,35,4.2571,1.7459,35,3.6176,1.8945,34,5.2,1.8868,30,5.7429,1.2034,35,4.4706,1.48,34,4.1429,1.0182,35
circumstances,13,4.5,1.7139,32,4.5313,1.0303,32,3.375,1.4948,32,2.9697,1.5664,33,2.5806,1.5816,31,5.7667,1.1743,30,4.7879,0.9772,33,4.8438,1.2527,32,4.0333,1.1397,30
circus,6,6.2813,1.9403,32,6.0606,1.7912,33,4.625,1.293,32,6.3226,0.9634,31,6.5667,0.7157,30,5.2,1.7889,25,2.4412,0.7353,34,5.1515,1.6352,33,4.125,1.0533,32
citation,8,3.4375,1.999,32,5.1143,1.1898,35,5,1.2181,31,4.0303,1.8338,33,4.1212,2.0114,33,4.5313,1.7675,32,6.6176,0.7675,34,3.4194,1.3386,31,4.3939,0.7361,33
cite,4,3.3333,1.5129,30,5.0333,0.9826,30,4.7143,1.4604,28,3.5484,1.6818,31,2.8,1.6411,30,4.4194,1.6612,31,6.4688,0.9008,32,3.6129,1.2618,31,3.9667,0.875,30
city,4,6.2069,1.7885,29,5.8438,1.3017,32,4.8333,2.1305,30,5.9231,1.0714,26,6.3103,0.7476,29,6.5926,0.6809,27,3.0645,1.2164,31,6.2414,1.1343,29,4.1923,0.7348,26
civilian,8,4,1.545,31,5.25,1.0607,32,3.5152,1.5398,33,5.0333,1.5596,30,4.7,1.5948,30,4.4074,1.6389,27,5.4545,1.1306,33,4.0323,1.3556,31,4.4194,1.0088,31
civilization,12,5.0606,2.0292,33,6.1765,1.4647,34,5.1714,2.4081,35,3.697,1.8172,33,4.5143,1.4613,35,4.8125,1.6093,32,5.4571,1.0782,35,6.3235,0.9616,34,4.5,1.0607,32
civilized,9,4.2188,1.6343,32,7.0606,1.1791,33,5.303,2.3288,33,3.3235,1.64,34,4,1.7678,32,5.6667,1.3984,30,5.6176,0.9398,34,5.2941,1.0989,34,3.4242,1.1018,33
clam,4,3.1429,1.8228,35,5.3636,1.4734,33,5.3824,1.6452,34,5.6571,1.7062,35,5.8857,1.6864,35,4.5758,1.7586,33,4,1.2873,35,2.2941,1.6184,34,3.8824,0.963,34
clan,4,4.6061,1.9839,33,5.375,1.8157,32,5.0313,1.7586,32,5.2424,1.3034,33,4.7059,1.7745,34,4.3571,1.8749,28,4.8235,1.5237,34,4.9697,1.4665,33,5.0303,1.2669,33
