"Package";"Version";"Author"
"maptools";"0.9-5";"Roger Bivand [cre, aut] (<https://orcid.org/0000-0003-2392-6140>);
  Nicholas Lewin-Koh [aut];
  Edzer Pebesma [ctb];
  Eric Archer [ctb];
  Adrian Baddeley [ctb];
  Nick Bearman [ctb];
  Hans-Jörg Bibiko [ctb];
  Steven Brey [ctb];
  Jonathan Callahan [ctb];
  German Carrillo [ctb];
  Stéphane Dray [ctb];
  David Forrest [ctb];
  Michael Friendly [ctb];
  Patrick Giraudoux [ctb];
  Duncan Golicher [ctb];
  Virgilio Gómez Rubio [ctb];
  Patrick Hausmann [ctb];
  Karl Ove Hufthammer [ctb];
  Thomas Jagger [ctb];
  Kent Johnson [ctb];
  Sebastian Luque [ctb];
  Don MacQueen [ctb];
  Andrew Niccolai [ctb];
  Edzer Pebesma [ctb];
  Oscar Perpiñán Lamigueiro [ctb];
  Ethan Plunkett [ctb];
  Tom Short [ctb];
  Greg Snow [ctb];
  Ben Stabler [ctb];
  Murray Stokely [ctb];
  Rolf Turner [ctb]"
"markdown";"0.9";"JJ Allaire [aut];
  Jeffrey Horner [aut];
  Yihui Xie [aut, cre] (<https://orcid.org/0000-0003-0645-5666>);
  Henrik Bengtsson [ctb];
  Jim Hester [ctb];
  Yixuan Qiu [ctb];
  Kohske Takahashi [ctb];
  Adam November [ctb];
  Nacho Caballero [ctb];
  Jeroen Ooms [ctb];
  Thomas Leeper [ctb];
  Joe Cheng [ctb];
  Andrzej Oles [ctb];
  Vicent Marti [aut, cph] (The Sundown library);
  Natacha Porte [aut, cph] (The Sundown library);
  RStudio [cph]"
"matrixStats";"0.54.0";"Henrik Bengtsson [aut, cre, cph];
  Hector Corrada Bravo [ctb];
  Robert Gentleman [ctb];
  Ola Hossjer [ctb];
  Harris Jaffee [ctb];
  Dongcan Jiang [ctb];
  Peter Langfelder [ctb];
  Peter Hickey [ctb]"
"matrixcalc";"1.0-3";"Frederick Novomestky <fnovomes@poly.edu>"
"mdscore";"0.1-3";"Antonio Hermes M. da Silva-Junior [aut, cre]; Damiao N. da Silva [aut]; Silvia L. P. Ferrari [ctb]"
"memoise";"1.1.0";"Hadley Wickham [aut];
  Jim Hester [aut, cre];
  Kirill Müller [aut];
  Daniel Cook [aut]"
"metafor";"2.0-0";"Wolfgang Viechtbauer [aut, cre]"
"methods";"3.5.2";"R Core Team"
"mgcv";"1.8-26";"Simon Wood <simon.wood@r-project.org>"
"mgm";"1.2-5";"Jonas Haslbeck"
"mi";"1.0";"Andrew Gelman [ctb];
  Jennifer Hill [ctb];
  Yu-Sung Su [aut];
  Masanao Yajima [ctb];
  Maria Pittau [ctb];
  Ben Goodrich [cre, aut];
  Yajuan Si [ctb];
  Jon Kropko [aut]"
"mice";"3.3.0";"Stef van Buuren [aut, cre];
  Karin Groothuis-Oudshoorn [aut];
  Alexander Robitzsch [ctb];
  Gerko Vink [ctb];
  Lisa Doove [ctb];
  Shahab Jolani [ctb];
  Rianne Schouten [ctb];
  Philipp Gaffert [ctb];
  Florian Meinfelder [ctb];
  Bernie Gray [ctb]"
"mime";"0.6";"Yihui Xie [aut, cre] (<https://orcid.org/0000-0003-0645-5666>);
  Jeffrey Horner [ctb];
  Beilei Bian [ctb]"
"miniUI";"0.1.1.1";"Joe Cheng [cre, aut];
  RStudio [cph]"
"minqa";"1.2.4";"Douglas Bates; Katharine M. Mullen; John C. Nash; Ravi Varadhan"
"mitml";"0.3-7";"Simon Grund [aut,cre]; Alexander Robitzsch [aut]; Oliver Luedtke [aut]"
"mitools";"2.3";"Thomas Lumley"
"mnormt";"1.5-5";"Fortran code by Alan Genz; R code by Adelchi Azzalini "
"modules";"0.8.0";"Sebastian Warnholz [aut, cre]"
"moments";"0.14";"Lukasz Komsta <lukasz.komsta@umlub.pl>; Frederick Novomestky
        <fnovomes@poly.edu>"
"multcomp";"1.4-8";"Torsten Hothorn [aut, cre];
  Frank Bretz [aut];
  Peter Westfall [aut];
  Richard M. Heiberger [ctb];
  Andre Schuetzenmeister [ctb];
  Susan Scheibe [ctb]"
"munsell";"0.5.0";"Charlotte Wickham <cwickham@gmail.com>"
"mvtnorm";"1.0-8";"Alan Genz [aut];
  Frank Bretz [aut];
  Tetsuhisa Miwa [aut];
  Xuefei Mi [aut];
  Friedrich Leisch [ctb];
  Fabian Scheipl [ctb];
  Bjoern Bornkamp [ctb];
  Martin Maechler [ctb];
  Torsten Hothorn [aut, cre] (<https://orcid.org/0000-0001-8301-0471>)"
"networktools";"1.2.0";"Payton Jones [aut, cre]"
"nlme";"3.1-137";"José Pinheiro [aut] (S version);
  Douglas Bates [aut] (up to 2007);
  Saikat DebRoy [ctb] (up to 2002);
  Deepayan Sarkar [ctb] (up to 2005);
  EISPACK authors [ctb] (src/rs.f);
  Siem Heisterkamp [ctb] (Author fixed sigma);
  Bert Van Willigen [ctb] (Programmer fixed sigma);
  R-core [aut, cre]"
"nloptr";"1.2.1";"Jelmer Ypma <uctpjyy@ucl.ac.uk>; with contributions by
        Hans W. Borchers <hwborchers@googlemail.com> and 
        Dirk Eddelbuettel <edd@debian.org>"
"nnet";"7.3-12";"Brian Ripley [aut, cre, cph];
  William Venables [cph]"
"nnls";"1.4";"Katharine M. Mullen and Ivo H. M. van Stokkum"
"nortest";"1.0-4";"Juergen Gross [aut];
  Uwe Ligges [aut, cre]"
"numDeriv";"2016.8-1";"Paul Gilbert and Ravi Varadhan"
"onewaytests";"2.0";"Osman Dag [aut, cre]; Anil Dolgun [aut]; N. Meric Konar [aut]"
"openssl";"1.2.1";"Jeroen Ooms [aut, cre] (<https://orcid.org/0000-0002-4035-0289>);
  Oliver Keyes [ctb]"
"openxlsx";"4.1.0";"Alexander Walker [aut, cre];
  Luca Braglia [ctb]"
"ordinal";"2018.8-25";"Rune Haubo Bojesen Christensen [aut, cre]"
"pan";"1.6";"Original by Joseph L. Schafer "
"parallel";"3.5.2";"R Core Team"
"parcor";"0.2-6";"Nicole Kraemer; Juliane Schaefer"
"pbapply";"1.4-0";"Peter Solymos [aut, cre]; Zygmunt Zawadzki [aut]"
"pbivnorm";"0.6.0";"Fortran code by Alan Genz.  R code by Brenton Kenkel;
    based on Adelchi Azzalini's 'mnormt' package."
"pbkrtest";"0.4-7";"Ulrich Halekoh <uhalekoh@health.sdu.dk> Søren Højsgaard
    <sorenh@math.aau.dk>"
"pillar";"1.3.1";"Kirill Müller [aut, cre];
  Hadley Wickham [aut];
  RStudio [cph]"
"pkgbuild";"1.0.2";"Hadley Wickham [aut];
  Jim Hester [aut, cre];
  RStudio [cph]"
"pkgconfig";"2.0.2";"Gábor Csárdi"
"pkgload";"1.0.2";"Hadley Wickham [aut];
  Jim Hester [aut, cre];
  Winston Chang [aut];
  RStudio [cph];
  R Core team [ctb] (Some namespace and vignette code extracted from base
    R)"
"plotrix";"3.7-4";"Jim Lemon; Ben Bolker; Sander Oom;
	Eduardo Klein; Barry Rowlingson;
	Hadley Wickham; Anupam Tyagi;
	Olivier Eterradossi; Gabor Grothendieck;
	Michael Toews; John Kane; Rolf Turner;
	Carl Witthoft; Julian Stander; Thomas Petzoldt;
	Remko Duursma; Elisa Biancotto; Ofir Levy;
	Christophe Dutang; Peter Solymos; Robby Engelmann;
	Michael Hecker; Felix Steinbeck; Hans Borchers;
	Henrik Singmann; Ted Toal; Derek Ogle; Darshan Baral;
	Ulrike Groemping"
"plyr";"1.8.4";"Hadley Wickham [aut, cre]"
"png";"0.1-7";"Simon Urbanek <Simon.Urbanek@r-project.org>"
"polynom";"1.3-9";"Bill Venables [aut] (S original);
  Kurt Hornik [aut, cre] (R port);
  Martin Maechler [aut] (R port)"
"ppcor";"1.1";"Seongho Kim"
"ppls";"1.6-1.1";"Nicole Kraemer <kraemer_r_packages@yahoo.de> Anne-Laure Boulesteix
        <boulesteix@ibe.med.uni-muenchen.de>"
"prettyunits";"1.0.2";"Gabor Csardi"
"processx";"3.2.1";"Gábor Csárdi [aut, cre, cph] (<https://orcid.org/0000-0001-7098-9676>);
  Winston Chang [aut];
  RStudio [cph, fnd];
  Mango Solutions [cph, fnd]"
"promises";"1.0.1";"Joe Cheng [aut, cre];
  RStudio [cph, fnd]"
"ps";"1.3.0";"Jay Loden [aut];
  Dave Daeschler [aut];
  Giampaolo Rodola' [aut];
  Gábor Csárdi [aut, cre];
  RStudio [cph]"
"psych";"1.8.12";"William Revelle [aut, cre] (<https://orcid.org/0000-0003-4880-9610>)"
"purrr";"0.3.0";"Lionel Henry [aut, cre];
  Hadley Wickham [aut];
  RStudio [cph, fnd]"
"pwr";"1.2-2";"Stephane Champely [aut];
  Claus Ekstrom [ctb];
  Peter Dalgaard [ctb];
  Jeffrey Gill [ctb];
  Stephan Weibelzahl [ctb];
  Aditya Anandkumar [ctb];
  Clay Ford [ctb];
  Robert Volcic [ctb];
  Helios De Rosario [cre]"
"qgraph";"1.6.1";"Sacha Epskamp [aut, cre];
  Giulio Costantini [aut];
  Jonas Haslbeck [aut];
  Angelique O. J. Cramer [ctb];
  Lourens J. Waldorp [ctb];
  Verena D. Schmittmann [ctb];
  Denny Borsboom [ctb]"
"quadprog";"1.5-5";"S original by Berwin A. Turlach <Berwin.Turlach@gmail.com> R
        port by Andreas Weingessel <Andreas.Weingessel@ci.tuwien.ac.at>"
"quantmod";"0.4-13";"Jeffrey A. Ryan [aut, cph];
  Joshua M. Ulrich [cre, aut];
  Wouter Thielen [ctb];
  Paul Teetor [ctb];
  Steve Bronder [ctb]"
"quantreg";"5.38";"Roger Koenker [cre, aut];
  Stephen Portnoy [ctb] (Contributions to Censored QR code);
  Pin Tian Ng [ctb] (Contributions to Sparse QR code);
  Achim Zeileis [ctb] (Contributions to dynrq code essentially identical
	to his dynlm code);
  Philip Grosjean [ctb] (Contributions to nlrq code);
  Brian D Ripley [trl; ctb] (Initial (2001) R port from S (to my
    everlasting shame -- how could I have been so slow to adopt R!) and
    for numerous other suggestions and useful advice)"
"qvcalc";"0.9-1";"David Firth"
"rcmdcheck";"1.3.2";"Gábor Csárdi"
"readr";"1.3.1";"Hadley Wickham [aut];
  Jim Hester [aut, cre];
  Romain Francois [aut];
  R Core Team [ctb] (Date time code adapted from R);
  RStudio [cph, fnd];
  Jukka Jylänki [ctb, cph] (grisu3 implementation);
  Mikkel Jørgensen [ctb, cph] (grisu3 implementation)"
"readxl";"1.3.0";"Hadley Wickham [aut] (<https://orcid.org/0000-0003-4757-117X>);
  Jennifer Bryan [aut, cre] (<https://orcid.org/0000-0002-6983-2759>);
  RStudio [cph, fnd] (Copyright holder of all R code and all C/C++ code
	without explicit copyright attribution);
  Marcin Kalicinski [ctb, cph] (Author of included RapidXML code);
  Komarov Valery [ctb, cph] (Author of included libxls code);
  Christophe Leitienne [ctb, cph] (Author of included libxls code);
  Bob Colbert [ctb, cph] (Author of included libxls code);
  David Hoerl [ctb, cph] (Author of included libxls code);
  Evan Miller [ctb, cph] (Author of included libxls code)"
"regsem";"1.3.3";"Ross Jacobucci[aut,cre];
		Kevin J. Grimm [ctb];
		Andreas M. Brandmaier [ctb];
		Sarfaraz Serang [ctb];
		Rogier A. Kievit [ctb];
        Florian Scharf [ctb]"
"relaimpo";"2.2-3";"Ulrike Groemping [aut, cre];
  Lehrkamp Matthias [ctb]"
"relimp";"1.0-5";"David Firth with contributions from Heather Turner and John Fox"
"rematch";"1.0.1";"Gabor Csardi"
"remotes";"2.0.2";"Gábor Csárdi [aut, cre];
  Hadley Wickham [aut];
  Winston Chang [aut];
  Jim Hester [aut];
  RStudio [cph];
  Martin Morgan [aut];
  Dan Tenenbaum [aut];
  Mango Solutions [cph]"
"reshape2";"1.4.3";"Hadley Wickham <h.wickham@gmail.com>"
"rio";"0.5.16";"Jason Becker [ctb];
  Chung-hong Chan [aut];
  Geoffrey CH Chan [ctb];
  Thomas J. Leeper [aut, cre] (<https://orcid.org/0000-0003-4097-6326>);
  Christopher Gandrud [ctb];
  Andrew MacDonald [ctb];
  Ista Zahn [ctb];
  Stanislaus Stadlmann [ctb];
  Ruaridh Williamson [ctb];
  Patrick Kennedy [ctb];
  Ryan Price [ctb];
  Trevor L Davis [ctb]"
"rjson";"0.2.20";"Alex Couture-Beil <rjson_pkg@mofo.ca>"
"rlang";"0.3.1";"Lionel Henry [aut, cre];
  Hadley Wickham [aut];
  RStudio [cph]"
"rockchalk";"1.8.144";"Paul E. Johnson [aut, cre];
  Gabor Grothendieck [ctb]"
"rpart";"4.1-13";"Terry Therneau [aut];
  Beth Atkinson [aut, cre];
  Brian Ripley [trl] (producer of the initial R port; maintainer
    1999-2017)"
"rprojroot";"1.3-2";"Kirill Müller [aut, cre]"
"rstudioapi";"0.9.0";"Kevin Ushey [aut, cre];
  JJ Allaire [aut];
  Hadley Wickham [aut];
  Gary Ritchie [aut];
  RStudio [cph]"
"sandwich";"2.5-0";"Achim Zeileis [aut, cre] (<https://orcid.org/0000-0003-0918-3766>);
  Thomas Lumley [aut];
  Susanne Berger [ctb];
  Nathaniel Graham [ctb]"
"scales";"1.0.0";"Hadley Wickham [aut, cre];
  RStudio [cph]"
"sem";"3.1-9";"John Fox [aut, cre];
  Zhenghua Nie [aut];
  Jarrett Byrnes [aut];
  Michael Culbertson [ctb];
  Saikat DebRoy [ctb];
  Michael Friendly [ctb];
  Benjamin Goodrich [ctb];
  Richard H. Jones [ctb];
  Adam Kramer [ctb];
  Georges Monette [ctb];
  R-Core [ctb]"
"semPlot";"1.1.1";"Sacha Epskamp [aut, cre];
  Simon Stuber [ctb];
  Jason Nak [ctb];
  Myrthe Veenman [ctb]"
"semTools";"0.5-1";"Terrence D. Jorgensen [aut, cre]
	(<https://orcid.org/0000-0001-5111-6773>);
  Sunthud Pornprasertmanit [aut];
  Alexander Schoemann [aut];
  Yves Rosseel [aut];
  Patrick Miller [ctb];
  Corbin Quick [ctb];
  Mauricio Garnier-Villarreal [ctb];
  James Selig [ctb];
  Aaron Boulton [ctb];
  Kristopher Preacher [ctb];
  Donna Coffman [ctb];
  Mijke Rhemtulla [ctb];
  Alexander Robitzsch [ctb];
  Craig Enders [ctb];
  Ruber Arslan [ctb];
  Bell Clinton [ctb];
  Pavel Panko [ctb];
  Edgar Merkle [ctb];
  Steven Chesnut [ctb];
  Jarrett Byrnes [ctb];
  Jason D. Rights [ctb];
  Ylenio Longo [ctb];
  Maxwell Mansolf [ctb]"
"sessioninfo";"1.1.1";"Gábor Csárdi; R core; Hadley Wickham; Winston Chang;
	Robert M Flight; Kirill Müller; Jim Hester"
"shiny";"1.2.0";"Winston Chang [aut, cre];
  Joe Cheng [aut];
  JJ Allaire [aut];
  Yihui Xie [aut];
  Jonathan McPherson [aut];
  RStudio [cph];
  jQuery Foundation [cph] (jQuery library and jQuery UI library);
  jQuery contributors [ctb, cph] (jQuery library; authors listed in
	inst/www/shared/jquery-AUTHORS.txt);
  jQuery UI contributors [ctb, cph] (jQuery UI library; authors listed in
	inst/www/shared/jqueryui/AUTHORS.txt);
  Mark Otto [ctb] (Bootstrap library);
  Jacob Thornton [ctb] (Bootstrap library);
  Bootstrap contributors [ctb] (Bootstrap library);
  Twitter; Inc [cph] (Bootstrap library);
  Alexander Farkas [ctb, cph] (html5shiv library);
  Scott Jehl [ctb, cph] (Respond.js library);
  Stefan Petre [ctb, cph] (Bootstrap-datepicker library);
  Andrew Rowls [ctb, cph] (Bootstrap-datepicker library);
  Dave Gandy [ctb, cph] (Font-Awesome font);
  Brian Reavis [ctb, cph] (selectize.js library);
  Kristopher Michael Kowal [ctb, cph] (es5-shim library);
  es5-shim contributors [ctb, cph] (es5-shim library);
  Denis Ineshin [ctb, cph] (ion.rangeSlider library);
  Sami Samhuri [ctb, cph] (Javascript strftime library);
  SpryMedia Limited [ctb, cph] (DataTables library);
  John Fraser [ctb, cph] (showdown.js library);
  John Gruber [ctb, cph] (showdown.js library);
  Ivan Sagalaev [ctb, cph] (highlight.js library);
  R Core Team [ctb, cph] (tar implementation from R)"
"shinyAce";"0.3.3";"Vincent Nijs [aut, cre];
  Forest Fang [aut];
  Trestle Technology; LLC [aut];
  Jeff Allen [aut];
  Institut de Radioprotection et de Surete Nucleaire [cph];
  Ajax.org B.V. [ctb, cph] (Ace)"
"shinyBS";"0.61";"Eric Bailey"
"shinyjs";"1.0";"Dean Attali [aut, cre]"
"smacof";"1.10-8";"Patrick Mair [aut, cre];
  Jan De Leeuw [aut];
  Ingwer Borg [ctb];
  Patrick J. F. Groenen [ctb]"
"sn";"1.5-4";"Adelchi Azzalini <adelchi.azzalini@unipd.it>"
"snow";"0.4-3";"Luke Tierney; A. J. Rossini; Na Li; H. Sevcikova"
"sourcetools";"0.1.7";"Kevin Ushey"
"sp";"1.3-1";"Edzer Pebesma [aut, cre];
  Roger Bivand [aut];
  Barry Rowlingson [ctb];
  Virgilio Gomez-Rubio [ctb];
  Robert Hijmans [ctb];
  Michael Sumner [ctb];
  Don MacQueen [ctb];
  Jim Lemon [ctb];
  Josh O'Brien [ctb];
  Joseph O'Rourke [ctb]"
"spatial";"7.3-11";"Brian Ripley [aut, cre, cph];
  Roger Bivand [ctb];
  William Venables [cph]"
"splines";"3.5.2";"Douglas M. Bates <bates@stat.wisc.edu> and
 William N. Venables <Bill.Venables@csiro.au>"
"stats";"3.5.2";"R Core Team and contributors worldwide"
"stats4";"3.5.2";"R Core Team and contributors worldwide"
"stringi";"1.3.1";"Marek Gagolewski [aut, cre]; Bartek Tartanus [ctb];
    and other contributors (stringi source code);
	IBM; Unicode; Inc.; and other contributors (ICU4C source code);
	Unicode; Inc. (Unicode Character Database)"
"stringr";"1.4.0";"Hadley Wickham [aut, cre, cph];
  RStudio [cph, fnd]"
"survey";"3.35-1";"Thomas Lumley"
"survival";"2.43-3";"Terry M Therneau [aut, cre];
  Thomas Lumley [ctb, trl] (original S->R port and R maintainer until
    2009)"
"sys";"3.0";"Jeroen Ooms [aut, cre] (<https://orcid.org/0000-0002-4035-0289>);
  Gábor Csárdi [ctb]"
"tcltk";"3.5.2";"R Core Team"
"tibble";"2.0.1";"Kirill Müller [aut, cre];
  Hadley Wickham [aut];
  Romain Francois [ctb];
  Jennifer Bryan [ctb];
  RStudio [cph]"
"tidyr";"0.8.2";"Hadley Wickham [aut, cre];
  Lionel Henry [aut];
  RStudio [cph]"
"tidyselect";"0.2.5";"Lionel Henry [aut, cre];
  Hadley Wickham [aut];
  RStudio [cph]"
"tools";"3.5.2";"R Core Team"
"truncnorm";"1.0-8";"Olaf Mersmann [aut, cre];
  Heike Trautmann [aut];
  Detlef Steuer [aut];
  Björn Bornkamp [aut]"
"tseries";"0.10-46";"Adrian Trapletti [aut];
  Kurt Hornik [aut, cre];
  Blake LeBaron [ctb] (BDS test code)"
"ucminf";"1.1-4";"Hans Bruun Nielsen and Stig Bousgaard Mortensen"
"usethis";"1.4.0";"Hadley Wickham [aut, cre] (<https://orcid.org/0000-0003-4757-117X>);
  Jennifer Bryan [aut] (<https://orcid.org/0000-0002-6983-2759>);
  RStudio [cph, fnd]"
"utf8";"1.1.4";"Patrick O. Perry [aut, cph, cre];
  Unicode; Inc. [cph, dtc] (Unicode Character Database)"
"utils";"3.5.2";"R Core Team and contributors worldwide"
"vcd";"1.4-4";"David Meyer [aut, cre];
  Achim Zeileis [aut] (<https://orcid.org/0000-0003-0918-3766>);
  Kurt Hornik [aut];
  Florian Gerber [ctb];
  Michael Friendly [ctb]"
"vcdExtra";"0.7-1";"Michael Friendly [aut, cre]; Heather Turner [ctb]; Achim Zeileis [ctb]; Duncan Murdoch [ctb]; David Firth [ctb]"
"viridis";"0.5.1";"Simon Garnier [aut, cre];
  Noam Ross [ctb, cph];
  Bob Rudis [ctb, cph];
  Marco Sciaini [ctb, cph];
  Cédric Scherer [ctb, cph]"
"viridisLite";"0.3.0";"Simon Garnier [aut, cre];
  Noam Ross [ctb, cph];
  Bob Rudis [ctb, cph];
  Marco Sciaini [ctb, cph];
  Cédric Scherer [ctb, cph]"
"weights";"1.0";"Josh Pasek [aut, cre]; with some assistance from Alex Tahk and some code modified from R-core; Additional contributions by Gene Culter and Marcus Schwemmle."
"whisker";"0.3-2";"Edwin de Jonge"
"withr";"2.1.2";"Jim Hester [aut, cre];
  Kirill Müller [aut];
  Kevin Ushey [aut];
  Hadley Wickham [aut];
  Winston Chang [aut];
  Richard Cotton [ctb];
  RStudio [cph]"
"wordcloud";"2.6";"Ian Fellows"
"xfun";"0.5";"Yihui Xie [aut, cre, cph] (<https://orcid.org/0000-0003-0645-5666>);
  Daijiang Li [ctb];
  Xianying Tan [ctb]"
"xopen";"1.0.0";"Gábor Csárdi [aut, cre];
  Fathi Boudra [aut];
  Rex Dieter [aut];
  Kevin Krammer [aut];
  Jeremy White [aut]"
"xtable";"1.8-3";"David B. Dahl [aut];
  David Scott [aut, cre];
  Charles Roosen [aut];
  Arni Magnusson [aut];
  Jonathan Swinton [aut];
  Ajay Shah [ctb];
  Arne Henningsen [ctb];
  Benno Puetz [ctb];
  Bernhard Pfaff [ctb];
  Claudio Agostinelli [ctb];
  Claudius Loehnert [ctb];
  David Mitchell [ctb];
  David Whiting [ctb];
  Fernando da Rosa [ctb];
  Guido Gay [ctb];
  Guido Schulz [ctb];
  Ian Fellows [ctb];
  Jeff Laake [ctb];
  John Walker [ctb];
  Jun Yan [ctb];
  Liviu Andronic [ctb];
  Markus Loecher [ctb];
  Martin Gubri [ctb];
  Matthieu Stigler [ctb];
  Robert Castelo [ctb];
  Seth Falcon [ctb];
  Stefan Edwards [ctb];
  Sven Garbade [ctb];
  Uwe Ligges [ctb]"
"xts";"0.11-2";"Jeffrey A. Ryan [aut, cph];
  Joshua M. Ulrich [cre, aut];
  Ross Bennett [ctb];
  Corwin Joy [ctb]"
"yaml";"2.2.0";"Jeremy Stephens [aut, cre]; Kirill Simonov [aut]; Yihui Xie [ctb];
  Zhuoer Dong [ctb]; Hadley Wickham [ctb]; Jeffrey Horner [ctb]; reikoch [ctb];
  Will Beasley [ctb]; Brendan O'Connor [ctb]; Gregory R. Warnes [ctb]"
"zip";"2.0.0";"Gábor Csárdi; Kuba Podgórski; Rich Geldreich"
"zoo";"1.8-4";"Achim Zeileis [aut, cre] (<https://orcid.org/0000-0003-0918-3766>);
  Gabor Grothendieck [aut];
  Jeffrey A. Ryan [aut];
  Joshua M. Ulrich [ctb];
  Felix Andrews [ctb]"
