"","Q01","Q02","Q03","Q04","Q05","Q06","Q07","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23"
"282",4,5,4,2,2,3,3,4,5,4,3,3,3,3,3,3,3,4,2,3,2,3,2
"283",3,5,3,2,2,4,4,4,2,4,4,2,3,2,2,3,4,3,5,2,2,3,1
"284",3,4,4,2,4,4,2,4,1,3,3,3,4,2,2,3,3,3,3,2,2,3,1
"285",1,4,5,1,2,1,1,3,1,5,5,1,5,5,3,4,1,3,3,1,1,5,4
"286",3,4,2,3,4,4,3,4,2,4,3,3,5,3,4,4,4,3,5,3,2,3,5
"287",4,5,3,4,4,4,4,4,2,4,4,2,4,3,4,2,4,3,3,5,2,4,4
"288",5,4,2,4,4,5,5,4,3,4,4,4,4,4,4,4,4,4,2,3,3,3,2
"289",3,4,5,4,3,3,3,4,2,4,4,3,3,3,3,3,4,3,5,2,2,2,2
"290",3,1,3,4,3,5,4,5,1,5,5,2,4,4,5,3,4,5,2,3,3,1,1
"291",2,5,4,2,4,4,3,4,5,2,4,3,3,2,2,2,3,3,4,2,3,4,2
"292",4,5,4,3,3,3,2,4,3,4,4,4,4,3,4,4,4,3,2,2,3,4,3
"293",3,5,4,3,3,3,3,2,2,4,2,3,4,2,3,3,3,3,3,2,2,3,3
"294",3,4,4,3,2,1,2,4,3,2,4,1,2,1,4,3,4,1,5,3,1,4,3
"295",2,5,5,2,2,4,2,4,2,1,4,1,4,1,1,1,4,3,4,1,1,3,3
"296",3,5,3,4,4,4,3,4,2,2,4,3,2,3,2,3,4,4,5,3,4,1,3
"297",3,5,3,3,4,4,4,4,3,4,4,2,3,3,2,3,4,4,4,1,4,3,3
"298",4,5,4,4,5,4,4,3,2,4,3,4,4,3,4,4,4,4,4,2,4,3,2
"299",4,4,5,3,3,3,3,4,4,4,4,3,4,3,2,3,3,4,4,1,2,3,3
"300",3,5,3,3,2,5,5,3,5,5,5,3,4,3,4,3,4,4,5,2,3,1,1
"301",4,4,4,3,2,4,3,3,4,2,4,3,3,2,2,3,3,3,4,2,2,5,4
"302",3,5,3,2,3,4,3,4,5,3,4,2,3,3,3,3,3,3,5,3,3,5,3
"303",3,5,3,2,4,4,2,4,4,4,4,3,4,2,4,3,4,3,4,1,2,3,2
"304",5,4,3,4,3,3,4,4,1,5,5,4,5,3,4,5,5,4,4,4,4,3,2
"305",4,5,3,4,3,5,4,4,4,3,4,4,4,2,5,3,4,4,5,3,4,2,2
"306",3,5,4,3,3,4,3,2,3,4,2,3,3,2,4,3,2,4,4,2,2,4,3
"307",3,4,4,3,3,2,2,4,1,4,4,3,4,3,3,3,3,3,4,3,3,2,2
"308",4,5,3,4,4,2,2,4,2,4,3,3,3,4,4,4,4,3,4,3,2,2,2
"309",4,3,3,4,5,2,4,4,2,4,4,2,3,2,4,4,4,3,5,4,3,3,3
"310",2,1,5,1,1,1,1,3,3,3,2,1,3,2,2,3,2,2,5,1,2,4,2
"311",4,5,4,3,2,3,2,4,4,2,4,3,3,2,2,2,3,3,4,2,3,4,3
"312",3,5,2,5,3,5,5,4,2,5,4,3,4,5,5,3,5,5,2,1,4,3,3
"313",1,5,5,1,1,5,1,3,1,4,5,1,1,1,4,1,3,1,5,1,1,2,2
"314",3,4,4,3,2,5,4,4,2,4,4,3,4,2,4,3,4,5,5,1,2,1,2
"315",2,5,5,3,4,4,4,2,4,4,3,1,4,4,2,2,2,3,4,2,2,4,3
"316",4,5,4,4,5,3,2,5,4,4,4,3,3,3,1,3,5,3,2,2,4,4,2
"317",5,5,3,5,4,4,4,5,2,4,5,4,4,4,4,4,4,5,3,3,4,3,3
"318",3,5,4,3,4,3,2,4,2,4,3,3,3,2,3,3,4,2,4,2,2,4,2
"319",4,5,2,4,2,5,5,4,1,4,4,3,4,4,3,4,4,4,1,1,2,4,1
"320",4,3,3,3,4,4,4,4,2,4,5,2,4,4,4,4,4,4,2,2,2,3,2
"321",3,3,2,3,4,4,4,4,2,4,4,4,4,4,3,3,4,4,2,2,4,3,3
"322",4,5,4,3,4,2,2,3,5,4,3,1,3,3,3,3,3,2,4,1,2,3,2
"323",3,3,3,4,3,4,4,4,3,4,5,3,4,3,4,3,4,4,3,3,3,4,3
"324",5,2,2,5,5,5,5,5,1,5,5,5,5,5,5,4,5,5,1,1,4,2,2
"325",3,2,4,2,2,5,3,4,2,4,4,4,4,3,4,2,4,3,4,4,4,2,5
"326",3,5,5,2,3,5,2,3,5,4,3,1,2,3,3,2,3,3,5,1,1,3,2
"327",4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,2,2
"328",2,5,5,2,1,4,3,2,5,3,3,1,2,1,1,1,1,2,5,3,4,5,3
"329",4,4,4,4,4,4,2,4,2,4,4,3,4,3,2,2,4,5,4,2,2,2,2
"330",4,5,3,3,4,4,4,2,3,4,3,2,4,1,4,2,3,3,3,1,3,5,3
"331",4,5,5,1,2,2,1,5,3,3,2,1,3,1,2,1,1,2,5,3,2,4,3
"332",1,5,5,2,1,1,3,4,2,4,3,2,2,3,2,1,5,1,3,1,1,3,1
"333",4,5,3,4,3,4,1,4,1,5,4,2,1,2,1,4,3,4,5,1,2,5,2
"334",3,5,4,3,2,3,2,4,5,2,3,2,2,2,4,3,4,3,5,1,3,5,3
"335",4,5,4,4,4,4,4,4,3,4,4,3,4,3,3,3,4,4,4,1,3,3,3
"336",1,5,5,4,2,5,4,4,5,4,4,2,3,2,3,2,4,3,4,1,1,3,2
"337",4,4,4,4,4,2,2,4,2,4,4,2,2,2,4,3,4,2,5,2,4,4,2
"338",3,5,3,3,3,1,1,4,2,3,4,3,4,1,3,3,3,2,4,3,3,3,2
"339",3,3,3,3,4,4,2,3,1,5,5,3,3,1,3,3,5,2,5,1,1,1,3
"340",3,5,4,2,3,3,3,5,5,4,4,2,3,3,2,2,3,4,4,1,2,3,1
"341",4,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,2
"342",3,5,4,3,3,4,3,3,5,5,3,2,2,1,4,4,3,4,5,1,3,4,1
"343",4,5,4,2,2,4,4,3,4,4,3,2,2,2,2,2,4,3,4,2,3,3,2
"344",4,5,2,4,4,5,4,5,3,4,5,2,5,4,4,3,5,4,2,3,4,2,2
"345",4,5,3,4,3,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,3,4
"346",2,5,5,3,1,1,1,3,4,3,2,1,4,5,1,2,5,5,5,1,3,2,3
"347",5,3,3,3,4,4,3,4,5,3,5,3,3,3,4,3,4,3,4,2,3,3,5
"348",5,5,1,5,3,4,4,4,2,4,5,4,5,4,4,4,5,4,3,3,4,2,2
"349",4,3,3,2,4,4,4,3,2,3,3,3,4,4,1,4,3,3,3,4,4,2,2
"350",4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,3,3,4,3,3,3,3,3
"351",4,4,5,5,5,5,4,5,4,4,5,5,5,5,5,4,5,5,3,3,5,2,2
"352",5,4,3,3,3,4,4,4,3,4,5,4,4,4,4,3,4,4,2,3,2,3,3
"353",4,5,3,4,1,5,1,4,2,4,4,3,3,4,3,3,3,3,4,1,2,3,4
"354",4,5,5,5,5,5,1,5,5,5,5,1,3,1,1,1,5,3,5,1,1,5,2
"355",4,5,3,4,2,4,1,4,2,1,4,3,4,4,4,3,3,3,4,3,3,3,4
"356",2,5,5,2,2,5,2,4,2,5,4,1,3,2,5,2,4,2,5,2,1,4,4
"357",3,4,3,2,3,5,4,3,5,4,3,2,3,3,3,2,3,3,4,1,2,3,2
"358",4,1,3,3,4,4,4,4,4,4,4,3,4,3,3,3,4,4,3,4,4,4,3
"359",3,5,5,3,2,5,4,4,3,4,5,2,3,4,3,2,4,2,5,3,3,4,3
"360",4,4,3,3,4,5,4,4,2,4,4,3,4,4,4,3,3,5,4,2,3,3,3
"361",4,5,3,3,3,4,4,4,3,4,4,3,4,4,4,3,3,4,3,3,3,3,3
"362",4,5,3,3,4,5,4,5,2,5,5,4,4,4,5,4,5,5,1,4,4,3,2
"363",4,3,2,2,4,2,4,4,3,3,4,3,3,2,2,3,3,2,2,4,3,4,4
"364",4,5,5,4,3,5,5,5,5,5,5,4,5,5,5,4,5,5,4,5,1,2,2
"365",4,5,3,3,3,4,3,3,5,4,3,3,4,4,3,4,3,4,3,2,2,3,2
"366",4,5,5,3,4,1,1,5,5,3,3,1,3,3,1,3,3,1,4,3,3,4,2
"367",4,2,3,3,4,5,4,4,2,4,5,4,5,5,3,3,5,4,5,2,4,4,3
"368",3,5,3,3,5,3,2,4,1,5,5,1,3,3,5,3,3,3,2,2,3,4,5
"369",3,5,5,2,2,2,1,4,5,3,2,2,2,4,2,3,2,2,5,2,2,2,5
"370",5,5,3,4,4,4,3,4,3,4,4,3,4,3,3,4,4,3,3,2,2,4,2
"371",4,5,4,3,3,4,1,4,4,4,4,1,4,2,2,2,2,2,5,4,1,5,5
"372",4,5,5,2,3,1,2,3,5,3,2,2,2,3,2,3,4,2,4,2,2,3,4
"373",4,3,3,4,3,4,3,4,2,4,4,3,3,3,4,3,3,3,4,3,3,4,3
"374",5,4,1,5,4,4,4,4,1,4,4,3,4,3,3,4,4,4,2,3,4,3,1
"375",3,3,4,3,3,4,3,3,3,3,3,2,3,4,4,3,4,4,2,3,3,5,3
"376",4,4,3,4,4,5,4,4,3,4,4,4,4,4,4,3,4,5,3,3,4,3,1
"377",3,4,4,2,3,5,4,1,1,3,1,4,4,4,4,4,2,4,5,1,4,2,1
"378",4,3,2,4,4,4,3,4,3,4,4,3,4,4,3,3,4,4,3,3,4,3,2
"379",4,5,5,4,4,4,5,2,3,3,2,3,3,2,4,3,3,3,5,1,2,4,5
"380",3,4,5,3,3,1,1,3,2,2,4,2,2,1,3,2,3,1,4,2,2,3,4
"381",4,2,3,3,3,4,4,4,2,4,4,4,4,4,4,4,3,4,4,3,4,3,2
"382",3,3,4,4,4,5,4,4,3,5,4,4,4,5,4,3,4,5,2,3,4,4,2
"383",3,5,3,4,4,2,2,2,2,4,3,2,2,2,2,3,2,2,3,4,3,2,3
"384",4,5,4,4,3,4,3,5,5,4,5,3,3,2,5,4,4,4,5,5,4,5,4
"385",4,4,3,3,3,4,2,4,5,4,4,2,3,2,3,4,4,2,4,1,2,3,1
"386",3,4,2,5,5,5,4,5,3,4,5,2,4,4,4,4,4,3,3,2,3,3,2
"387",4,5,5,3,3,1,1,4,2,2,4,3,2,1,2,3,4,1,4,2,2,4,2
"388",5,4,4,4,3,4,3,5,2,4,5,3,4,3,4,3,4,4,4,4,3,3,2
"389",4,3,3,4,2,5,3,4,3,4,4,4,5,3,4,4,4,4,3,2,3,2,3
"390",4,5,3,4,3,3,3,4,2,4,5,4,4,3,3,4,4,3,2,4,4,5,3
"391",3,4,5,3,2,4,3,3,4,3,3,3,4,3,2,2,4,4,5,2,2,4,3
"392",4,5,3,4,3,4,2,4,2,4,4,3,3,3,3,4,4,4,4,4,4,3,3
"393",4,4,3,3,3,5,4,4,2,2,4,3,4,4,4,4,4,4,4,2,4,2,2
"394",3,4,2,3,4,4,2,5,2,5,5,1,2,4,4,4,5,2,4,3,2,4,4
"395",4,4,3,2,4,4,2,2,2,4,3,3,2,3,2,3,2,2,4,2,2,2,2
"396",4,2,5,3,4,4,4,4,5,4,4,4,4,3,2,3,4,4,5,1,2,3,2
"397",3,5,2,4,4,5,4,4,5,4,5,3,4,4,4,3,4,4,4,4,4,3,2
"398",4,4,5,4,3,4,2,4,4,3,4,2,4,2,3,2,4,3,4,3,4,2,2
"399",4,5,5,4,4,3,2,3,2,3,3,1,2,3,2,2,4,2,5,5,4,4,2
"400",3,4,4,3,3,4,3,2,4,3,3,3,3,2,3,3,4,3,3,3,3,3,2
"401",5,4,3,4,4,4,4,5,1,4,5,4,4,4,4,4,4,4,4,2,4,2,2
"402",4,5,4,3,4,5,4,4,5,4,4,2,4,3,2,4,4,4,4,2,2,4,2
"403",4,3,3,4,4,5,5,5,1,5,5,3,5,5,3,3,4,5,1,3,3,1,1
"404",2,2,4,2,4,4,2,2,1,5,3,2,3,2,2,2,2,3,5,4,4,1,3
"405",3,5,4,3,2,4,3,3,5,3,2,3,3,3,2,2,2,3,3,1,3,4,3
"406",2,5,4,2,2,2,3,4,4,2,4,2,2,3,2,2,3,2,4,2,3,3,2
"407",5,5,3,2,4,1,3,4,2,2,4,3,1,3,2,4,5,3,3,1,4,4,2
"408",4,5,3,3,2,3,3,3,2,2,4,1,3,3,3,4,3,4,5,2,1,2,1
"409",5,5,2,4,3,5,4,5,5,5,5,3,4,4,4,3,4,4,2,2,4,1,2
"410",3,4,3,3,3,4,2,5,1,4,4,2,3,3,4,3,4,2,4,3,3,2,2
"411",4,5,3,3,4,5,3,4,2,4,4,3,4,3,4,2,4,3,5,2,3,3,2
"412",5,5,2,5,4,4,4,5,1,4,5,4,4,4,4,4,5,4,2,5,4,3,3
"413",4,5,4,2,2,4,2,1,3,4,2,1,2,3,4,4,2,4,5,1,2,4,2
"414",3,5,5,2,1,3,2,2,5,4,2,1,2,4,2,1,4,3,5,1,1,5,1
"415",4,5,3,3,4,4,4,4,3,4,4,3,4,3,4,4,4,4,3,2,3,3,2
"416",1,5,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,1,5,5
"417",3,4,2,3,3,4,3,3,1,3,3,3,3,3,4,3,3,3,5,4,3,4,3
"418",3,3,2,4,3,4,4,5,2,4,4,3,4,4,3,4,4,4,5,2,4,2,2
"419",4,3,3,3,4,5,5,4,1,4,5,2,5,3,5,3,3,5,5,3,2,3,3
"420",2,5,5,2,2,5,1,4,5,1,4,2,4,4,4,2,4,3,5,1,1,5,2
"421",3,3,1,2,4,5,4,5,5,5,4,3,4,5,3,3,3,3,3,2,2,1,2
"422",4,3,2,3,3,5,4,4,2,4,4,3,4,4,3,4,4,4,2,3,3,1,3
"423",4,2,2,4,4,4,4,5,2,4,5,4,4,4,4,4,4,4,3,4,4,3,2
"424",4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,2,2
"425",4,5,2,5,4,4,3,4,3,4,4,4,5,4,3,3,4,4,5,3,3,2,3
"426",5,4,5,3,1,4,2,2,3,2,3,1,3,4,1,1,2,2,5,1,1,4,3
"427",4,5,4,4,2,4,3,4,5,3,3,2,3,4,2,3,4,3,5,1,2,3,4
"428",4,5,5,3,4,4,4,4,4,4,3,2,3,1,2,3,2,2,5,1,2,5,2
"429",4,4,5,3,3,4,3,4,3,4,4,3,4,4,4,3,4,4,4,2,4,3,2
"430",2,5,2,2,3,4,4,4,5,3,4,2,4,3,2,2,4,4,4,2,3,4,3
"431",4,5,2,2,4,3,4,4,2,4,3,2,4,1,4,3,3,4,4,1,1,1,3
"432",2,5,4,1,2,2,1,4,4,4,4,2,3,4,4,4,4,2,4,5,2,3,2
"433",3,5,4,2,3,2,1,3,2,2,2,2,2,2,2,2,2,1,4,1,2,4,2
"434",3,5,4,3,2,4,4,5,1,4,5,3,3,3,3,3,4,5,5,5,4,5,5
"435",4,5,3,3,3,2,3,4,3,4,4,3,3,2,3,3,3,3,3,2,3,3,2
"436",4,4,4,4,3,4,2,4,4,3,5,3,4,2,3,3,4,4,4,1,2,4,3
"437",5,5,3,3,3,4,3,4,5,4,4,3,3,3,4,5,4,3,5,1,2,4,2
"438",3,4,2,3,4,4,4,4,2,3,4,4,4,2,3,4,4,4,3,3,4,3,3
"439",4,5,2,4,4,5,4,4,2,4,4,4,4,4,4,4,4,4,2,3,4,4,2
"440",3,4,3,2,3,4,2,5,5,4,4,2,5,3,3,4,4,3,4,2,2,2,2
"441",4,3,3,4,3,3,3,3,2,4,3,3,4,3,4,3,3,3,5,1,3,3,3
"442",3,4,3,1,3,5,4,2,1,4,3,3,4,1,2,3,4,3,4,1,2,2,1
"443",4,5,4,1,2,3,2,5,5,2,3,2,3,3,1,1,3,3,5,1,2,3,5
"444",4,5,3,4,2,4,4,3,2,4,3,3,4,3,3,3,3,4,5,3,3,3,2
"445",4,5,3,5,4,5,4,5,5,5,5,4,4,4,4,4,4,5,3,4,4,4,2
"446",4,5,3,4,3,2,2,4,2,3,3,3,4,3,3,4,5,3,5,3,2,3,3
"447",3,5,3,3,2,4,1,1,3,5,3,3,3,4,2,3,2,4,4,2,2,3,1
"448",4,5,5,1,4,1,1,4,5,3,4,2,3,3,3,3,4,1,4,3,4,4,4
"449",4,5,2,4,2,3,4,4,3,2,4,2,4,3,4,4,4,3,4,3,3,3,2
"450",5,2,2,4,4,5,5,5,1,5,5,4,4,4,4,4,4,5,2,3,5,1,1
"451",3,5,3,4,1,2,2,3,4,2,4,3,4,2,1,2,2,2,4,4,3,5,5
"452",4,4,2,4,4,4,4,4,2,4,4,3,4,4,4,3,4,4,3,4,4,2,2
"453",5,3,3,4,4,5,5,4,1,5,5,4,5,5,5,4,4,5,2,5,5,3,1
"454",4,5,4,3,3,5,4,3,4,4,4,4,3,4,3,4,4,3,4,4,4,3,5
"455",3,3,3,3,4,5,4,4,3,4,4,4,5,5,4,4,3,5,4,2,4,2,3
"456",3,3,2,3,4,5,4,4,2,4,4,3,4,4,4,5,4,4,2,2,3,2,2
"457",3,5,3,3,4,4,3,4,2,4,4,4,4,4,4,4,4,4,2,2,3,2,2
"458",4,5,3,4,3,3,3,4,5,5,3,2,4,4,4,3,4,2,5,1,1,3,2
"459",2,5,5,1,3,2,2,4,5,2,4,1,2,3,1,1,3,3,5,2,1,4,1
"460",4,5,4,1,4,1,1,1,1,4,1,3,2,2,4,5,1,1,5,1,2,2,1
"461",5,4,2,4,4,3,3,4,3,3,3,3,3,4,3,3,3,4,2,3,3,3,4
"462",5,3,2,4,4,5,4,3,3,3,2,3,4,4,4,2,2,4,4,3,2,3,3
"463",4,5,3,4,4,4,4,4,3,4,4,3,3,4,3,3,3,3,2,2,3,3,3
"464",4,5,4,2,4,4,4,4,5,2,4,2,5,2,3,3,4,4,1,2,4,4,4
"465",3,4,3,3,2,5,4,4,1,5,4,4,5,3,4,4,4,5,2,4,3,2,1
"466",4,3,3,4,4,4,4,4,3,3,4,3,4,3,4,3,4,3,3,3,4,3,4
"467",5,4,2,5,3,4,3,4,2,4,4,4,4,3,4,3,4,5,5,4,4,4,2
"468",4,5,2,2,4,4,5,5,4,4,5,2,5,3,2,4,5,4,4,4,4,3,2
"469",4,2,1,5,5,5,5,4,2,4,4,4,4,4,4,4,4,4,3,4,4,2,2
"470",4,5,5,2,4,4,2,4,5,4,3,2,3,2,2,3,3,3,4,2,2,4,4
"471",4,1,3,2,3,4,2,4,2,4,4,3,3,4,3,3,4,3,3,3,3,4,3
"472",4,5,3,3,4,3,2,4,4,4,4,3,4,2,2,3,4,4,4,2,4,4,3
"473",5,5,3,5,4,5,4,4,3,5,5,3,5,3,5,4,5,4,2,3,4,3,5
"474",1,5,5,3,3,1,4,4,4,3,4,3,4,3,2,2,4,3,4,4,4,4,2
"475",3,2,2,3,3,5,4,5,2,4,5,3,5,4,3,3,4,4,3,2,3,2,2
"476",3,4,3,2,4,3,4,3,2,4,3,4,4,3,4,3,3,4,4,2,3,2,1
"477",4,5,4,4,5,5,4,5,5,5,5,4,5,3,2,5,5,5,5,2,5,5,2
"478",4,4,3,4,4,5,5,4,3,5,5,4,4,5,4,4,4,5,3,3,3,2,3
"479",4,4,2,5,4,4,4,4,4,2,4,4,5,4,4,4,4,4,2,3,4,3,3
"480",5,5,4,5,4,4,4,4,3,4,3,3,3,3,4,4,4,4,5,2,3,4,3
"481",2,5,5,2,4,1,1,4,5,1,4,1,1,1,1,2,4,1,5,3,3,5,2
"482",3,4,4,3,3,4,4,4,4,4,3,3,3,3,2,3,3,4,3,2,3,2,2
"483",5,5,3,4,4,5,3,5,2,5,5,4,5,4,5,5,5,5,4,1,2,1,2
"484",4,5,5,2,3,1,2,5,5,3,4,2,2,3,1,3,4,2,4,2,2,5,4
"485",4,5,2,2,1,5,4,3,5,5,4,2,5,2,2,3,4,4,5,1,1,5,1
"486",3,5,4,2,2,3,1,3,3,2,3,2,3,2,2,1,4,1,5,1,1,3,3
"487",3,5,4,2,4,5,4,4,2,4,4,3,3,4,3,3,2,3,5,1,2,2,5
"488",5,4,2,4,4,4,3,4,2,3,4,3,4,2,3,4,4,5,5,3,3,3,2
"489",3,4,4,3,3,3,2,4,5,2,4,3,2,2,3,2,4,2,3,1,2,3,2
"490",2,5,4,4,4,4,3,4,3,4,3,2,1,3,2,2,3,3,5,1,3,4,1
"491",4,2,2,2,4,4,3,4,2,3,4,2,3,4,4,4,4,4,4,2,4,3,3
"492",4,5,2,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,2,4,2,2
"493",3,5,3,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,4,1,2,3,3
"494",4,3,1,3,3,4,4,4,1,4,4,4,5,3,4,3,4,3,4,3,4,2,3
"495",4,5,1,4,4,3,4,4,2,4,4,3,4,4,4,4,4,4,3,4,4,2,2
"496",4,3,3,2,3,4,4,4,2,4,4,3,4,3,4,3,3,2,4,3,3,3,3
"497",4,5,2,4,4,4,4,4,4,2,4,3,4,4,4,4,3,4,4,2,3,4,3
"498",3,4,3,2,4,5,5,5,2,4,5,2,4,3,5,3,5,2,2,2,4,2,1
"499",4,4,3,3,4,4,2,4,2,2,4,2,4,4,3,3,4,4,4,2,3,2,2
"500",3,5,3,4,3,4,2,4,4,2,3,2,3,4,2,3,3,3,4,2,3,4,2
"501",4,5,2,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,2,3,4,3,4
"502",5,5,2,2,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,2,4,3,2
"503",5,2,2,4,3,5,4,5,2,3,4,3,4,4,5,5,5,5,2,4,4,2,2
"504",4,5,3,4,4,4,3,4,2,4,4,3,4,4,4,4,4,4,4,3,3,4,2
"505",2,4,3,2,4,5,4,3,2,4,3,3,3,4,4,3,3,3,3,2,2,3,3
"506",5,5,5,5,4,3,3,4,4,3,3,4,4,3,3,4,3,2,4,2,2,2,5
"507",4,4,5,3,2,2,2,2,2,4,3,3,3,3,2,3,2,4,4,2,3,4,2
"508",5,5,5,3,3,5,3,5,3,3,4,2,4,4,5,4,4,5,3,1,1,3,2
"509",2,5,5,2,3,5,1,4,4,4,1,1,2,1,1,1,2,1,5,1,2,3,2
"510",4,5,4,3,4,2,3,2,5,4,2,3,3,3,3,2,2,4,2,1,3,3,1
"511",3,5,5,4,3,4,3,2,3,3,2,3,4,2,2,2,2,2,4,1,1,3,2
"512",3,5,5,3,4,1,1,4,1,1,3,1,1,1,3,3,1,1,3,1,1,5,4
"513",4,5,3,4,4,4,3,4,3,3,4,3,3,3,4,4,5,4,4,3,4,3,2
"514",4,5,3,2,3,4,4,4,3,4,4,3,4,4,4,3,3,3,5,1,2,2,3
"515",3,5,3,4,1,5,4,4,3,4,4,2,5,3,3,2,3,4,5,1,3,3,2
"516",3,5,4,2,2,1,2,3,3,3,3,1,1,3,3,3,2,2,5,2,2,3,3
"517",4,5,4,5,4,3,2,4,1,4,4,3,3,3,3,4,3,3,4,3,3,3,4
"518",3,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,4,4,3,2,3,4,4
"519",3,4,4,4,4,4,2,2,2,3,4,3,3,4,4,3,3,4,2,1,3,3,2
"520",2,5,5,2,2,2,2,4,5,4,4,2,3,3,4,3,3,3,5,2,2,3,4
"521",5,5,3,4,5,5,3,4,3,5,4,2,4,3,4,4,4,5,5,1,2,1,1
"522",4,5,5,3,3,2,2,1,1,3,1,1,5,1,2,3,2,4,5,1,3,5,2
"523",3,4,3,3,3,2,2,3,3,4,4,3,4,3,3,3,3,3,4,2,2,3,3
"524",2,5,2,1,2,4,4,3,5,1,3,1,4,4,4,1,3,1,5,3,2,4,2
"525",3,3,3,4,4,5,3,4,4,5,5,4,4,4,3,3,4,5,4,3,4,4,3
"526",2,5,5,1,2,3,2,1,5,3,1,2,4,3,1,1,2,4,5,1,2,3,2
"527",3,4,2,2,3,4,2,3,2,4,4,3,4,3,4,4,4,4,3,4,3,4,2
"528",3,5,2,4,3,5,4,3,3,4,3,3,2,4,3,3,4,4,4,4,3,4,3
"529",3,4,3,3,2,2,2,3,2,4,3,3,3,2,3,3,3,3,4,3,3,4,3
"530",4,5,4,4,4,4,2,5,4,2,4,2,2,2,2,4,4,4,5,2,2,5,4
"531",5,5,5,4,4,1,4,4,5,4,3,2,2,4,4,2,4,2,2,2,2,4,4
"532",4,5,4,2,1,4,3,4,5,3,2,2,2,1,2,3,3,3,4,1,2,5,3
"533",3,3,2,3,2,2,3,4,3,4,4,4,4,3,3,3,3,3,2,4,3,2,2
"534",4,4,5,4,3,4,4,4,3,3,2,2,4,3,3,3,4,4,4,3,3,3,3
"535",4,5,3,5,4,4,2,4,2,4,4,2,3,3,4,4,4,3,2,2,3,2,3
"536",4,5,2,3,4,5,4,4,4,5,4,2,4,4,4,4,3,4,2,3,4,3,3
"537",4,3,1,3,5,5,4,4,1,4,5,3,4,5,4,3,5,5,1,3,4,1,2
"538",4,5,3,4,4,3,2,3,1,4,4,2,4,2,3,2,4,2,5,2,2,4,2
"539",4,5,5,2,4,5,1,1,1,4,3,3,4,2,1,1,1,5,5,3,1,1,1
"540",4,4,2,4,4,4,4,3,2,3,4,4,4,3,4,4,3,3,2,2,3,3,2
"541",4,3,4,1,2,4,1,3,1,4,3,2,3,2,2,3,3,4,2,2,2,3,2
"542",4,3,3,4,4,5,4,4,2,4,4,4,4,3,4,4,4,5,3,2,3,2,2
"543",5,5,3,3,5,5,4,5,2,5,4,3,4,4,3,3,4,4,4,3,3,3,2
"544",5,5,3,4,2,2,4,5,5,4,4,2,4,5,2,3,5,4,3,4,4,4,3
"545",4,3,2,5,3,4,2,5,1,5,3,4,3,3,3,3,4,3,1,3,3,1,2
"546",4,3,3,4,3,3,2,4,3,4,4,3,4,3,3,3,4,4,3,2,2,3,2
"547",4,5,4,2,2,3,1,3,1,5,3,1,2,2,2,2,2,3,5,3,2,2,1
"548",4,5,5,1,2,4,2,4,5,4,2,2,4,3,3,3,3,4,5,1,3,2,2
"549",4,5,3,3,4,4,3,2,3,4,2,3,4,3,2,2,3,4,5,2,3,3,1
"550",4,5,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,2,4,4,2,2
"551",4,3,3,3,4,5,4,4,2,4,5,3,4,4,5,3,4,3,5,1,3,1,1
"552",5,5,2,4,4,5,5,5,2,4,4,5,4,4,3,4,5,5,1,2,4,2,3
"553",5,5,3,3,5,4,3,3,2,4,4,3,3,3,2,3,3,4,4,2,3,3,3
"554",4,5,4,2,3,3,2,4,4,4,4,2,2,3,4,1,3,1,4,2,3,4,2
"555",3,5,4,4,3,4,4,4,3,3,4,3,4,2,4,3,4,3,5,2,3,4,4
"556",2,5,3,3,3,4,4,4,4,4,3,2,2,4,4,3,4,3,4,2,2,4,4
"557",2,5,5,1,4,4,2,4,5,4,3,3,3,4,3,2,2,3,5,2,2,4,2
"558",4,4,2,4,4,5,4,5,2,5,5,3,4,4,4,4,4,4,1,3,4,4,2
"559",4,4,3,4,3,4,5,4,2,4,4,4,5,4,4,2,4,3,2,1,4,4,2
"560",4,5,4,5,4,4,4,4,5,4,4,4,4,4,3,3,4,4,5,4,2,2,3
"561",2,4,5,4,3,4,3,3,3,3,3,3,3,2,3,2,3,2,5,1,2,3,3
"562",3,5,3,2,2,2,3,4,4,4,4,3,2,3,2,3,3,3,4,4,4,4,4
"563",4,5,3,3,3,5,4,4,3,2,4,3,4,2,2,3,5,4,3,2,3,3,1
"564",4,1,3,3,3,2,1,3,2,3,4,3,2,1,2,4,4,5,5,1,2,4,2
