"ID","Stratum","BookValue","AuditValue","Selected"
726,"Store Amsterdam",1311,NA,0
727,"Store Amsterdam",874,NA,0
728,"Store Amsterdam",874,NA,0
729,"Store Amsterdam",1311,1311,1
730,"Store Amsterdam",874,NA,0
731,"Store Amsterdam",1311,NA,0
732,"Store Amsterdam",874,NA,0
733,"Store Amsterdam",1311,NA,0
734,"Store Amsterdam",1311,NA,0
735,"Store Amsterdam",874,NA,0
736,"Store Amsterdam",1311,1311,1
737,"Store Amsterdam",874,NA,0
738,"Store Amsterdam",874,NA,0
739,"Store Amsterdam",1311,NA,0
740,"Store Amsterdam",1311,NA,0
741,"Store Amsterdam",874,NA,0
742,"Store Amsterdam",874,NA,0
743,"Store Amsterdam",874,NA,0
744,"Store Amsterdam",3250,3250,1
745,"Store Amsterdam",874,NA,0
746,"Store Amsterdam",2835,NA,0
747,"Store Amsterdam",469.5,NA,0
748,"Store Amsterdam",314.5,NA,0
749,"Store Amsterdam",314.5,314.5,1
750,"Store Amsterdam",314.5,NA,0
751,"Store Amsterdam",2420,NA,0
752,"Store Amsterdam",1856.25,NA,0
753,"Store Amsterdam",2801.25,NA,0
754,"Store Amsterdam",360,360,1
755,"Store Amsterdam",255,NA,0
756,"Store Amsterdam",395,NA,0
757,"Store Amsterdam",365,NA,0
758,"Store Amsterdam",125,NA,0
759,"Store Amsterdam",886.73,NA,0
760,"Store Amsterdam",925.72,NA,0
761,"Store Amsterdam",125,NA,0
762,"Store Amsterdam",125,NA,0
763,"Store Amsterdam",125,NA,0
764,"Store Amsterdam",1800,NA,0
765,"Store Amsterdam",650,NA,0
766,"Store Amsterdam",1990,1990,1
767,"Store Amsterdam",774.3,NA,0
768,"Store Amsterdam",924,NA,0
769,"Store Amsterdam",590,NA,0
770,"Store Amsterdam",1974.1,NA,0
771,"Store Amsterdam",1200,NA,0
772,"Store Amsterdam",1200,NA,0
773,"Store Amsterdam",1200,1200,1
774,"Store Amsterdam",1200,NA,0
775,"Store Amsterdam",1200,NA,0
776,"Store Amsterdam",1200,NA,0
777,"Store Amsterdam",1200,NA,0
778,"Store Amsterdam",1200,NA,0
779,"Store Amsterdam",1200,NA,0
780,"Store Amsterdam",1200,1200,1
781,"Store Amsterdam",1200,NA,0
782,"Store Amsterdam",1200,NA,0
783,"Store Amsterdam",1200,NA,0
784,"Store Amsterdam",1125,NA,0
785,"Store Amsterdam",3570,3570,1
786,"Store Amsterdam",3570,NA,0
787,"Store Amsterdam",3570,3570,1
788,"Store Amsterdam",720,NA,0
789,"Store Amsterdam",433.55,NA,0
790,"Store Amsterdam",433.55,NA,0
791,"Store Amsterdam",455,NA,0
792,"Store Amsterdam",292.5,NA,0
793,"Store Amsterdam",216.45,NA,0
794,"Store Amsterdam",227.5,NA,0
795,"Store Amsterdam",243.75,NA,0
796,"Store Amsterdam",273,NA,0
797,"Store Amsterdam",390,NA,0
798,"Store Amsterdam",292.5,NA,0
799,"Store Amsterdam",2100,NA,0
800,"Store Amsterdam",1400,1400,1
801,"Store Amsterdam",1400,NA,0
802,"Store Amsterdam",180.29,NA,0
803,"Store Amsterdam",125,NA,0
804,"Store Amsterdam",1295,NA,0
805,"Store Amsterdam",2250,NA,0
806,"Store Amsterdam",3104.1,0,1
807,"Store Amsterdam",249,NA,0
808,"Store Amsterdam",313.42,NA,0
809,"Store Amsterdam",278,NA,0
810,"Store Amsterdam",278,NA,0
811,"Store Amsterdam",1890.9,NA,0
812,"Store Amsterdam",930,NA,0
813,"Store Amsterdam",1080,NA,0
814,"Store Amsterdam",930,NA,0
815,"Store Amsterdam",1240,NA,0
816,"Store Amsterdam",1080,0,1
817,"Store Amsterdam",930,NA,0
818,"Store Amsterdam",1240,NA,0
819,"Store Amsterdam",1080,NA,0
820,"Store Amsterdam",1440,NA,0
821,"Store Amsterdam",990,NA,0
822,"Store Amsterdam",990,NA,0
823,"Store Amsterdam",1320,0,1
824,"Store Amsterdam",2250,NA,0
825,"Store Amsterdam",2250,NA,0
826,"Store Amsterdam",2700,2278.36,1
827,"Store Amsterdam",1600,NA,0
828,"Store Amsterdam",577.5,NA,0
829,"Store Amsterdam",577.5,NA,0
830,"Store Amsterdam",192.5,NA,0
831,"Store Amsterdam",442.75,NA,0
832,"Store Amsterdam",62.5,NA,0
833,"Store Amsterdam",654.5,NA,0
834,"Store Amsterdam",1368.5,NA,0
835,"Store Amsterdam",695,NA,0
836,"Store Amsterdam",695,NA,0
837,"Store Amsterdam",695,0,1
838,"Store Amsterdam",695,NA,0
839,"Store Amsterdam",695,NA,0
840,"Store Amsterdam",924,NA,0
841,"Store Amsterdam",616,NA,0
842,"Store Amsterdam",847,NA,0
843,"Store Amsterdam",1056.5,NA,0
844,"Store Amsterdam",693,NA,0
845,"Store Amsterdam",693,NA,0
846,"Store Amsterdam",693,NA,0
847,"Store Amsterdam",486,NA,0
848,"Store Amsterdam",717,717,1
849,"Store Amsterdam",754.25,NA,0
850,"Store Amsterdam",1100.75,NA,0
851,"Store Amsterdam",335,NA,0
852,"Store Amsterdam",335,NA,0
853,"Store Amsterdam",175,NA,0
854,"Store Amsterdam",335,NA,0
855,"Store Amsterdam",1580,NA,0
856,"Store Amsterdam",250,NA,0
857,"Store Amsterdam",736.63,NA,0
858,"Store Amsterdam",736.63,NA,0
859,"Store Amsterdam",300,NA,0
860,"Store Amsterdam",175,NA,0
861,"Store Amsterdam",250,NA,0
862,"Store Amsterdam",736.63,0,1
863,"Store Amsterdam",137.5,NA,0
864,"Store Amsterdam",217.64,NA,0
865,"Store Amsterdam",217.64,NA,0
866,"Store Amsterdam",137.5,NA,0
867,"Store Amsterdam",217.64,NA,0
868,"Store Amsterdam",137.5,NA,0
869,"Store Amsterdam",217.64,NA,0
870,"Store Amsterdam",137.5,NA,0
871,"Store Amsterdam",217.64,NA,0
872,"Store Amsterdam",137.5,NA,0
873,"Store Amsterdam",217.64,NA,0
874,"Store Amsterdam",137.5,NA,0
875,"Store Amsterdam",217.64,NA,0
876,"Store Amsterdam",137.5,NA,0
877,"Store Amsterdam",137.5,NA,0
878,"Store Amsterdam",217.64,NA,0
879,"Store Amsterdam",2275,NA,0
880,"Store Amsterdam",2275,0,1
881,"Store Amsterdam",295,NA,0
882,"Store Amsterdam",475,NA,0
883,"Store Amsterdam",85,NA,0
884,"Store Amsterdam",85,NA,0
885,"Store Amsterdam",75,NA,0
886,"Store Amsterdam",95,NA,0
887,"Store Amsterdam",141.65,NA,0
888,"Store Amsterdam",1327,NA,0
889,"Store Amsterdam",1034.5,NA,0
890,"Store Amsterdam",814.5,NA,0
891,"Store Amsterdam",65,NA,0
892,"Store Amsterdam",130,NA,0
893,"Store Amsterdam",430,NA,0
894,"Store Amsterdam",267,NA,0
895,"Store Amsterdam",279,NA,0
896,"Store Amsterdam",4468,0,1
897,"Store Amsterdam",807,NA,0
898,"Store Amsterdam",175.8,NA,0
899,"Store Amsterdam",4468,NA,0
900,"Store Amsterdam",432,0,1
901,"Store Amsterdam",430,NA,0
902,"Store Amsterdam",4468,NA,0
903,"Store Amsterdam",4434,0,1
904,"Store Amsterdam",144,NA,0
905,"Store Amsterdam",430,NA,0
906,"Store Amsterdam",203,NA,0
907,"Store Amsterdam",424.5,NA,0
908,"Store Amsterdam",1107,NA,0
909,"Store Amsterdam",430,NA,0
910,"Store Amsterdam",4506,0,1
911,"Store Amsterdam",178,NA,0
912,"Store Amsterdam",430,NA,0
913,"Store Amsterdam",295,NA,0
914,"Store Amsterdam",430.75,NA,0
915,"Store Amsterdam",4468,NA,0
916,"Store Amsterdam",295,NA,0
917,"Store Amsterdam",854.4,0,1
918,"Store Amsterdam",750,NA,0
919,"Store Amsterdam",750,NA,0
920,"Store Amsterdam",750,NA,0
921,"Store Amsterdam",750,NA,0
922,"Store Amsterdam",750,NA,0
923,"Store Amsterdam",1580,NA,0
924,"Store Amsterdam",416.67,NA,0
925,"Store Amsterdam",1118,NA,0
926,"Store Amsterdam",1511,0,1
927,"Store Amsterdam",2275,NA,0
928,"Store Amsterdam",1405.94,NA,0
929,"Store Amsterdam",937.5,NA,0
930,"Store Amsterdam",937.5,NA,0
931,"Store Amsterdam",937.5,NA,0
932,"Store Amsterdam",937.5,0,1
933,"Store Amsterdam",2370,NA,0
934,"Store Amsterdam",1195,NA,0
935,"Store Amsterdam",1195,NA,0
936,"Store Amsterdam",1195,NA,0
937,"Store Amsterdam",1195,NA,0
938,"Store Amsterdam",1195,1195,1
939,"Store Amsterdam",1195,NA,0
940,"Store Amsterdam",1195,NA,0
941,"Store Amsterdam",1195,NA,0
942,"Store Amsterdam",1195,NA,0
943,"Store Amsterdam",1195,NA,0
944,"Store Amsterdam",995,995,1
945,"Store Amsterdam",1195,NA,0
946,"Store Amsterdam",1195,NA,0
947,"Store Amsterdam",2275,NA,0
948,"Store Amsterdam",4550,0,1
949,"Store Amsterdam",865.19,NA,0
950,"Store Amsterdam",1386.66,NA,0
951,"Store Amsterdam",2275,NA,0
952,"Store Amsterdam",2275,0,1
953,"Store Amsterdam",4550,NA,0
954,"Store Amsterdam",1386.66,NA,0
955,"Store Amsterdam",1386.66,NA,0
956,"Store Amsterdam",900,0,1
957,"Store Amsterdam",1350,NA,0
958,"Store Amsterdam",1350,NA,0
959,"Store Amsterdam",1350,NA,0
960,"Store Amsterdam",900,NA,0
961,"Store Amsterdam",1350,NA,0
962,"Store Amsterdam",1350,0,1
963,"Store Amsterdam",475,NA,0
964,"Store Amsterdam",1200,NA,0
965,"Store Amsterdam",1147.5,NA,0
966,"Store Amsterdam",1530,NA,0
967,"Store Amsterdam",1530,NA,0
968,"Store Amsterdam",1530,0,1
969,"Store Amsterdam",1530,NA,0
970,"Store Amsterdam",1530,NA,0
971,"Store Amsterdam",1530,NA,0
972,"Store Amsterdam",1511,NA,0
973,"Store Amsterdam",2161,0,1
974,"Store Amsterdam",1530,NA,0
975,"Store Amsterdam",2121.75,NA,0
976,"Store Amsterdam",3189.27,NA,0
977,"Store Amsterdam",3189.27,0,1
978,"Store Amsterdam",1530,NA,0
979,"Store Amsterdam",3189.27,NA,0
980,"Store Amsterdam",816.5,0,1
981,"Store Amsterdam",3189.27,NA,0
982,"Store Amsterdam",1511,NA,0
983,"Store Amsterdam",2161,NA,0
984,"Store Amsterdam",2121.75,0,1
985,"Store Amsterdam",1820,NA,0
986,"Store Amsterdam",1530,NA,0
987,"Store Amsterdam",819,NA,0
988,"Store Amsterdam",1511,NA,0
989,"Store Amsterdam",2161,0,1
990,"Store Amsterdam",3189.27,NA,0
991,"Store Amsterdam",1235,NA,0
992,"Store Amsterdam",1530,NA,0
993,"Store Amsterdam",1530,0,1
994,"Store Amsterdam",1530,NA,0
995,"Store Amsterdam",1530,NA,0
996,"Store Amsterdam",816.5,NA,0
997,"Store Amsterdam",1530,NA,0
998,"Store Amsterdam",1530,0,1
999,"Store Amsterdam",819,NA,0
1000,"Store Amsterdam",848,NA,0
1001,"Store Amsterdam",3060,NA,0
1002,"Store Amsterdam",2121.75,NA,0
1003,"Store Amsterdam",1820,0,1
1004,"Store Amsterdam",1530,NA,0
1005,"Store Amsterdam",3189.27,NA,0
1006,"Store Amsterdam",848,NA,0
1007,"Store Amsterdam",1530,0,1
1008,"Store Amsterdam",1530,NA,0
1009,"Store Amsterdam",1530,NA,0
1010,"Store Amsterdam",1350,NA,0
1011,"Store Amsterdam",1511,NA,0
1012,"Store Amsterdam",2161,0,1
1013,"Store Amsterdam",1530,NA,0
1014,"Store Amsterdam",2121.75,NA,0
1015,"Store Amsterdam",1530,NA,0
1016,"Store Amsterdam",1530,NA,0
1017,"Store Amsterdam",2121.75,0,1
1018,"Store Amsterdam",1530,NA,0
1019,"Store Amsterdam",1530,NA,0
1020,"Store Amsterdam",1530,NA,0
1021,"Store Amsterdam",1530,0,1
1022,"Store Amsterdam",1511,NA,0
1023,"Store Amsterdam",2161,NA,0
1024,"Store Amsterdam",1530,NA,0
1025,"Store Amsterdam",1530,NA,0
1026,"Store Amsterdam",1530,0,1
1027,"Store Amsterdam",3189.27,NA,0
1028,"Store Amsterdam",3189.27,NA,0
1029,"Store Amsterdam",1530,0,1
1030,"Store Amsterdam",1530,NA,0
1031,"Store Amsterdam",1530,NA,0
1032,"Store Amsterdam",1530,NA,0
1033,"Store Amsterdam",1530,NA,0
1034,"Store Amsterdam",1530,0,1
1035,"Store Amsterdam",1530,NA,0
1036,"Store Amsterdam",1530,NA,0
1037,"Store Amsterdam",1530,NA,0
1038,"Store Amsterdam",2121.75,NA,0
1039,"Store Amsterdam",3189.27,0,1
1040,"Store Amsterdam",3189.27,NA,0
1041,"Store Amsterdam",1530,NA,0
1042,"Store Amsterdam",1530,0,1
1043,"Store Amsterdam",1530,NA,0
1044,"Store Amsterdam",1530,NA,0
1045,"Store Amsterdam",910,NA,0
1046,"Store Amsterdam",2121.75,NA,0
1047,"Store Amsterdam",3189.27,0,1
1048,"Store Amsterdam",1511,NA,0
1049,"Store Amsterdam",2161,NA,0
1050,"Store Amsterdam",2121.75,0,1
1051,"Store Amsterdam",1511,NA,0
1052,"Store Amsterdam",2161,NA,0
1053,"Store Amsterdam",1530,NA,0
1054,"Store Amsterdam",1530,NA,0
1055,"Store Amsterdam",1530,0,1
1056,"Store Amsterdam",816.5,NA,0
1057,"Store Amsterdam",1530,NA,0
1058,"Store Amsterdam",1530,NA,0
1059,"Store Amsterdam",1530,NA,0
1060,"Store Amsterdam",1530,NA,0
1061,"Store Amsterdam",1530,0,1
1062,"Store Amsterdam",1530,NA,0
1063,"Store Amsterdam",816.5,NA,0
1064,"Store Amsterdam",1530,NA,0
1065,"Store Amsterdam",4500,2250,1
1066,"Store Amsterdam",1687.5,NA,0
1067,"Store Amsterdam",1687.5,NA,0
1068,"Store Amsterdam",4500,0,1
1069,"Store Amsterdam",2250,NA,0
1070,"Store Amsterdam",2250,NA,0
1071,"Store Amsterdam",1687.5,1687.5,1
1072,"Store Amsterdam",1266.78,NA,0
1073,"Store Amsterdam",2250,NA,0
1074,"Store Amsterdam",3937.5,1542,1
1075,"Store Amsterdam",3032.88,NA,0
1076,"Store Amsterdam",4500,NA,0
1077,"Store Amsterdam",2625,2625,1
1078,"Store Amsterdam",2625,NA,0
1079,"Store Amsterdam",4105.48,4105.48,1
1080,"Store Amsterdam",915.41,NA,0
1081,"Store Amsterdam",1804.72,NA,0
1082,"Store Amsterdam",2219.18,NA,0
1083,"Store Amsterdam",381.15,NA,0
1084,"Store Amsterdam",1406.25,1406.25,1
1085,"Store Amsterdam",4500,NA,0
1086,"Store Amsterdam",2193.65,NA,0
1087,"Store Amsterdam",1864.64,0,1
1088,"Store Amsterdam",2250,NA,0
1089,"Store Amsterdam",1125,NA,0
1090,"Store Amsterdam",3375,3375,1
1091,"Store Amsterdam",1970.55,NA,0
1092,"Store Amsterdam",1875,NA,0
1093,"Store Amsterdam",1968.75,NA,0
1094,"Store Amsterdam",4500,4500,1
1095,"Store Amsterdam",1757.81,NA,0
1096,"Store Amsterdam",2812.5,NA,0
1097,"Store Amsterdam",2179.11,2179.11,1
1098,"Store Amsterdam",1875,NA,0
1099,"Store Amsterdam",2460.94,NA,0
1100,"Store Amsterdam",1757.81,1757.81,1
1101,"Store Amsterdam",1849.32,NA,0
1102,"Store Amsterdam",2531.25,NA,0
1103,"Store Amsterdam",4500,4500,1
1104,"Store Amsterdam",1125,NA,0
1105,"Store Amsterdam",2460.92,NA,0
1106,"Store Amsterdam",4500,4500,1
1107,"Store Amsterdam",2250,NA,0
1108,"Store Amsterdam",2250,NA,0
1109,"Store Amsterdam",4500,4500,1
1110,"Store Amsterdam",1125,NA,0
1111,"Store Amsterdam",792.07,NA,0
1112,"Store Amsterdam",1720.9,NA,0
1113,"Store Amsterdam",1071.06,NA,0
1114,"Store Amsterdam",1687.5,1687.5,1
1115,"Store Amsterdam",2625,NA,0
1116,"Store Amsterdam",1875,NA,0
1117,"Store Amsterdam",4191.78,1500,1
1118,"Store Amsterdam",780.82,NA,0
1119,"Store Amsterdam",387.89,NA,0
1120,"Store Amsterdam",2625,NA,0
1121,"Store Amsterdam",1849.32,1849.32,1
1122,"Store Amsterdam",2625,NA,0
1123,"Store Amsterdam",1125,NA,0
1124,"Store Amsterdam",2179.11,NA,0
1125,"Store Amsterdam",2601.37,2601.37,1
1126,"Store Amsterdam",878.91,NA,0
1127,"Store Amsterdam",1687.5,NA,0
1128,"Store Amsterdam",1030.81,NA,0
1129,"Store Amsterdam",1217.85,NA,0
1130,"Store Amsterdam",4218.75,4218.75,1
1131,"Store Amsterdam",2460.94,NA,0
1132,"Store Amsterdam",1757.81,NA,0
1133,"Store Amsterdam",4500,2250,1
1134,"Store Amsterdam",2460.94,NA,0
1135,"Store Amsterdam",2625,2625,1
1136,"Store Amsterdam",1875,NA,0
1137,"Store Amsterdam",1687.5,NA,0
1138,"Store Amsterdam",1719.59,NA,0
1139,"Store Amsterdam",3656.25,0,1
1140,"Store Amsterdam",2765.36,NA,0
1141,"Store Amsterdam",3375,NA,0
1142,"Store Amsterdam",2250,2250,1
1143,"Store Amsterdam",1750,NA,0
1144,"Store Amsterdam",828.72,NA,0
1145,"Store Amsterdam",2461,NA,0
1146,"Store Amsterdam",2003.9,0,1
1147,"Store Amsterdam",2615.18,NA,0
1148,"Store Amsterdam",2256.05,NA,0
1149,"Store Amsterdam",2231.85,0,1
1150,"Store Amsterdam",2250,NA,0
1151,"Store Amsterdam",2250,NA,0
1152,"Store Amsterdam",2963.19,NA,0
1153,"Store Amsterdam",1479.45,1479.45,1
1154,"Store Amsterdam",1687.5,NA,0
1155,"Store Amsterdam",1687.5,NA,0
1156,"Store Amsterdam",1546.86,NA,0
1157,"Store Amsterdam",1031.24,NA,0
1158,"Store Amsterdam",1687.5,0,1
1159,"Store Amsterdam",2250,NA,0
1160,"Store Amsterdam",3516,NA,0
1161,"Store Amsterdam",2554.69,2554.69,1
1162,"Store Amsterdam",1968.75,NA,0
1163,"Store Amsterdam",1687.5,NA,0
1164,"Store Amsterdam",1125,NA,0
1165,"Store Amsterdam",2237.9,0,1
1166,"Store Amsterdam",1125,NA,0
1167,"Store Amsterdam",1500,NA,0
1168,"Store Amsterdam",865.38,NA,0
1169,"Store Amsterdam",2250,NA,0
1170,"Store Amsterdam",2625,0,1
1171,"Store Amsterdam",2460.94,NA,0
1172,"Store Amsterdam",1312.5,NA,0
1173,"Store Amsterdam",1687.5,NA,0
1174,"Store Amsterdam",1717.74,0,1
1175,"Store Amsterdam",2730.65,NA,0
1176,"Store Amsterdam",1125,NA,0
1177,"Store Amsterdam",2625,NA,0
1178,"Store Amsterdam",2062.48,2062.48,1
1179,"Store Amsterdam",515.62,NA,0
1180,"Store Amsterdam",4500,NA,0
1181,"Store Amsterdam",2625,2625,1
1182,"Store Amsterdam",2927.42,NA,0
1183,"Store Amsterdam",2062.48,NA,0
1184,"Store Amsterdam",515.62,NA,0
1185,"Store Amsterdam",2608.93,0,1
1186,"Store Amsterdam",4500,NA,0
1187,"Store Amsterdam",2250,2250,1
1188,"Store Amsterdam",4017.85,NA,0
1189,"Store Amsterdam",2062.48,NA,0
1190,"Store Amsterdam",515.62,NA,0
1191,"Store Amsterdam",2162.5,0,1
1192,"Store Amsterdam",1026.09,NA,0
1193,"Store Amsterdam",2578.13,NA,0
1194,"Store Amsterdam",2812.5,NA,0
1195,"Store Amsterdam",1969,1969,1
1196,"Store Amsterdam",2812.5,NA,0
1197,"Store Amsterdam",1406.25,NA,0
1198,"Store Amsterdam",1995.61,1995.61,1
1199,"Store Amsterdam",1750,NA,0
1200,"Store Amsterdam",2625,NA,0
1201,"Store Amsterdam",2162.5,NA,0
1202,"Store Amsterdam",1125,0,1
1203,"Store Amsterdam",1968.75,NA,0
1204,"Store Amsterdam",2812.5,NA,0
1205,"Store Amsterdam",2625,NA,0
1206,"Store Amsterdam",1125,1125,1
1207,"Store Amsterdam",1968.75,NA,0
1208,"Store Amsterdam",1687.5,NA,0
1209,"Store Amsterdam",3000,NA,0
1210,"Store Amsterdam",1125,1125,1
1211,"Store Amsterdam",281.25,NA,0
1212,"Store Amsterdam",1687.5,NA,0
1213,"Store Amsterdam",2174,NA,0
1214,"Store Amsterdam",3000,3000,1
1215,"Store Amsterdam",4550,NA,0
1216,"Store Amsterdam",2250,NA,0
1217,"Store Amsterdam",2250,2250,1
1218,"Store Amsterdam",2250,NA,0
1219,"Store Amsterdam",2625,NA,0
1220,"Store Amsterdam",4500,4500,1
1221,"Store Amsterdam",1125,NA,0
1222,"Store Amsterdam",1125,NA,0
1223,"Store Amsterdam",3000,3000,1
1224,"Store Amsterdam",1300.78,NA,0
1225,"Store Amsterdam",2250,NA,0
1226,"Store Amsterdam",1687.5,NA,0
1227,"Store Amsterdam",1687.5,NA,0
1228,"Store Amsterdam",4500,4500,1
1229,"Store Amsterdam",4500,4500,1
1230,"Store Amsterdam",1968.75,NA,0
1231,"Store Amsterdam",2235.08,NA,0
1232,"Store Amsterdam",4500,0,1
1233,"Store Amsterdam",1230.46,NA,0
1234,"Store Amsterdam",2250,NA,0
1235,"Store Amsterdam",2250,NA,0
1236,"Store Amsterdam",1312.5,0,1
1237,"Store Amsterdam",2250,NA,0
1238,"Store Amsterdam",1125,NA,0
1239,"Store Amsterdam",1875,NA,0
1240,"Store Amsterdam",2250,1728.52,1
1241,"Store Amsterdam",1225,NA,0
1242,"Store Amsterdam",2100.2,NA,0
1243,"Store Amsterdam",3450,2587.5,1
1244,"Store Amsterdam",3128,NA,0
1245,"Store Amsterdam",3128,2346,1
1246,"Store Amsterdam",2944,NA,0
1247,"Store Amsterdam",3450,2587.5,1
1248,"Store Amsterdam",3174,NA,0
1249,"Store Amsterdam",4094,3070.5,1
1250,"Store Amsterdam",3128,2346,1
1251,"Store Amsterdam",3220,NA,0
1252,"Store Amsterdam",3588,2691,1
1253,"Store Amsterdam",3726,2794.5,1
1254,"Store Amsterdam",4140,3105,1
1255,"Store Amsterdam",2715,NA,0
1256,"Store Amsterdam",3031.75,2273.81,1
1257,"Store Amsterdam",3801,NA,0
1258,"Store Amsterdam",3529.5,2647.13,1
1259,"Store Amsterdam",3529.5,2647.13,1
1260,"Store Amsterdam",3665.25,NA,0
1261,"Store Amsterdam",3077,2307.75,1
1262,"Store Amsterdam",3891.5,2918.63,1
1263,"Store Amsterdam",3077,NA,0
1264,"Store Amsterdam",3077,2307.75,1
1265,"Store Amsterdam",3077,NA,0
1266,"Store Amsterdam",3439,2579.25,1
1267,"Store Amsterdam",2938.01,2203.51,1
1268,"Store Amsterdam",3472.2,NA,0
1269,"Store Amsterdam",3561.23,2670.92,1
1270,"Store Amsterdam",3561.22,NA,0
1271,"Store Amsterdam",3605.73,2704.3,1
1272,"Store Amsterdam",3294.12,2470.59,1
1273,"Store Amsterdam",3650.25,NA,0
1274,"Store Amsterdam",3739.27,2804.45,1
1275,"Store Amsterdam",4674.09,3505.57,1
1276,"Store Amsterdam",4807.64,3605.73,1
1277,"Store Amsterdam",3205.1,NA,0
1278,"Store Amsterdam",3871.93,2903.95,1
1279,"Store Amsterdam",3360,0,1
1280,"Store Amsterdam",3547.5,NA,0
1281,"Store Amsterdam",9652.5,0,2
1282,"Store Amsterdam",9450,0,2
1283,"Store Amsterdam",4282.5,0,1
1284,"Store Amsterdam",4090,0,1
1285,"Store Amsterdam",3742.5,NA,0
1286,"Store Amsterdam",2905,0,1
1287,"Store Amsterdam",5918.92,0,1
1288,"Store Amsterdam",5131.09,0,1
1289,"Store Amsterdam",9481.39,0,2
1290,"Store Amsterdam",5878.25,0,1
1291,"Store Amsterdam",5077.83,0,1
1292,"Store Amsterdam",1961.93,NA,0
1293,"Store Amsterdam",4640.98,0,1
1294,"Store Amsterdam",3779.93,0,1
1295,"Store Amsterdam",3219.38,NA,0
1296,"Store Amsterdam",3118.38,0,1
1297,"Store Amsterdam",1414.01,NA,0
1298,"Store Amsterdam",2191.7,NA,0
1299,"Store Amsterdam",4350.59,0,1
1300,"Store Amsterdam",8549.68,0,2
1301,"Store Amsterdam",9382.94,0,2
1302,"Store Amsterdam",3360.79,NA,0
1303,"Store Amsterdam",1972.03,0,1
1304,"Store Amsterdam",143.93,NA,0
1305,"Store Amsterdam",2747.21,NA,0
1306,"Store Amsterdam",287.85,NA,0
1307,"Store Amsterdam",2964.37,0,1
1308,"Store Amsterdam",3567.83,NA,0
1309,"Store Amsterdam",623.68,NA,0
1310,"Store Amsterdam",3762.27,0,1
1311,"Store Amsterdam",1919.01,0,1
1312,"Store Amsterdam",2120.86,NA,0
1313,"Store Amsterdam",4396.11,0,1
1314,"Store Amsterdam",2338.03,NA,0
1315,"Store Amsterdam",3217.78,0,1
1316,"Store Amsterdam",2338.25,NA,0
1317,"Store Amsterdam",3222.86,0,1
1318,"Store Amsterdam",1492.5,NA,0
1319,"Store Amsterdam",1269.88,NA,0
1320,"Store Amsterdam",995,NA,0
1321,"Store Amsterdam",597,0,1
1322,"Store Amsterdam",2587,NA,0
1323,"Store Amsterdam",696.5,NA,0
1324,"Store Amsterdam",3864.38,0,1
1325,"Store Amsterdam",4327.88,0,1
1326,"Store Amsterdam",945.25,NA,0
1327,"Store Rotterdam",10521.53,10521.53,1
1328,"Store Rotterdam",4795.66,NA,0
1329,"Store Rotterdam",5515.13,NA,0
1330,"Store Rotterdam",17490.55,17490.55,1
1331,"Store Rotterdam",11134.81,11134.81,1
1332,"Store Rotterdam",18492.23,18492.23,1
1333,"Store Rotterdam",12972.03,NA,0
1334,"Store Rotterdam",6703.76,6703.76,1
1335,"Store Rotterdam",4113.76,NA,0
1336,"Store Rotterdam",8671.9,NA,0
1337,"Store Rotterdam",16658.74,16658.74,1
1338,"Store Rotterdam",16300.65,16300.65,1
1339,"Store Rotterdam",26441.48,26441.48,1
1340,"Store Rotterdam",10793.01,NA,0
1341,"Store Rotterdam",11512.06,11512.06,1
1342,"Store Rotterdam",3095.52,NA,0
1343,"Store Rotterdam",12703,12703,1
1344,"Store Rotterdam",19270.05,19270.05,1
1345,"Store Rotterdam",17558.73,17558.73,1
1346,"Store Rotterdam",28494.78,28494.78,1
1347,"Store Rotterdam",20717.94,20717.94,1
1348,"Store Rotterdam",15424.23,15424.23,1
1349,"Store Rotterdam",14403.89,NA,0
1350,"Store Rotterdam",15976.06,15976.06,1
1351,"Store Rotterdam",19990.08,19990.08,1
1352,"Store Rotterdam",16236.27,16236.27,1
1353,"Store Rotterdam",33013,33013,1
1354,"Store Rotterdam",22926.34,22926.34,1
1355,"Store Rotterdam",4889.8,4889.8,1
1356,"Store Rotterdam",3825.55,NA,0
1357,"Store Rotterdam",5071.37,NA,0
1358,"Store Rotterdam",5587.86,NA,0
1359,"Store Rotterdam",5129.56,5129.56,1
1360,"Store Rotterdam",10449.89,NA,0
1361,"Store Rotterdam",7699.72,NA,0
1362,"Store Rotterdam",9818.66,9818.66,1
1363,"Store Rotterdam",10973.52,NA,0
1364,"Store Rotterdam",15402.67,15402.67,1
1365,"Store Rotterdam",9042.13,9042.13,1
1366,"Store Rotterdam",8261.4,NA,0
1367,"Store Rotterdam",13223.45,13223.45,1
1368,"Store Rotterdam",12906.72,NA,0
1369,"Store Rotterdam",3863.55,NA,0
1370,"Store Rotterdam",9036.68,9036.68,1
1371,"Store Rotterdam",18271.06,18271.06,1
1372,"Store Rotterdam",5929.75,NA,0
1373,"Store Rotterdam",9886.63,NA,0
1374,"Store Rotterdam",11000.67,11000.67,1
1375,"Store Rotterdam",13229.95,13229.95,1
1376,"Store Rotterdam",27412.3,27412.3,1
1377,"Store Rotterdam",13542.18,13542.18,1
1378,"Store Rotterdam",12541.21,NA,0
1379,"Store Rotterdam",18879.63,18879.63,1
1380,"Store Rotterdam",8317.97,NA,0
