V1,id,sex,ageyr,agemo,school,grade,x1,x2,x3,x4,x5,x6,x7,x8,x9
235,281,2,12,7,Grant-White,7,4.3333333,5.5,1,1.6666667,2.75,1.5714286,3.3043478,5.7,4.3333333
236,282,1,14,2,Grant-White,8,3.3333333,6.75,1.875,3,4.75,1.5714286,5.6521739,5.25,6.6944444
237,283,2,13,1,Grant-White,8,5.5,5.5,1.75,4.3333333,6.25,3.7142857,3.6521739,6.35,6.3888889
238,284,2,12,11,Grant-White,8,6.3333333,6.5,0.875,5.3333333,6.25,2.1428571,4.7391304,5.55,5.5555556
239,285,2,13,2,Grant-White,8,5.5,6.25,4.25,5,5.75,3,4.7391304,7.15,6.8333333
240,286,1,13,6,Grant-White,8,6,7.25,2,3,5.75,3.2857143,6.4782609,7.8,6.8611111
241,287,1,13,9,Grant-White,8,6.3333333,7.25,4.375,4.3333333,5.5,2.4285714,4.8695652,6.3,6.3055556
242,288,2,13,2,Grant-White,8,5.1666667,6.25,3.5,3.3333333,6.25,3.8571429,4.4782609,4.9,4.6666667
243,289,2,13,1,Grant-White,8,6,7,1.625,3.6666667,5.75,2.5714286,5.826087,5.1,6.2222222
244,290,1,13,8,Grant-White,8,5.1666667,6.5,3.625,3.6666667,6.5,1.7142857,3.6956522,4.95,5.25
245,291,2,14,2,Grant-White,8,4.6666667,6,0.75,2.6666667,4.25,2.1428571,4,4.75,5.9722222
246,292,1,13,8,Grant-White,8,6.3333333,9.25,3.5,3.3333333,4.75,2.7142857,4.7826087,6.75,5.5277778
247,293,1,13,6,Grant-White,8,4.8333333,8.5,2.75,3.3333333,5,2.7142857,3.6521739,6.6,4.0833333
248,294,1,13,7,Grant-White,8,5.8333333,6,1.875,4,5,3.2857143,4,6.25,6.4444444
249,295,2,13,3,Grant-White,8,5.8333333,6.25,3.125,3.6666667,6,2.7142857,5.7391304,5.9,5.1944444
250,296,2,12,10,Grant-White,8,3.8333333,5.25,0.375,3,5.25,1.7142857,5.7826087,5.55,6.5277778
251,297,2,13,5,Grant-White,8,5.1666667,7,3.125,4,5.75,2.1428571,6.0434783,5.5,5.5277778
252,298,1,14,6,Grant-White,8,8.5,6.5,4.25,6,6.5,5.4285714,5.7826087,8.05,6.9166667
253,299,2,14,9,Grant-White,8,5.5,7,2.25,5,5.75,4.2857143,4.173913,6.1,5.8888889
254,300,2,15,11,Grant-White,8,3.5,6.5,2.125,4,4,4.7142857,5.1304348,5.6,3.6666667
255,302,2,13,9,Grant-White,8,6.1666667,8,1.375,5.3333333,6.25,4.5714286,3.4782609,4.75,4.75
256,303,1,13,1,Grant-White,8,6.1666667,5,2.625,2.6666667,4.75,2.7142857,3.3913043,5.05,4.9722222
257,304,1,13,9,Grant-White,8,6.1666667,6.5,3.625,2.3333333,4.75,2.7142857,4.4347826,5.65,5.8333333
258,305,1,13,7,Grant-White,8,6.5,6.5,3,5.6666667,6.5,4.2857143,5,6.8,7.3888889
259,306,2,13,0,Grant-White,8,6.5,8.5,4.125,3.3333333,4.75,2.2857143,4.1304348,5.95,6.6666667
260,307,2,13,8,Grant-White,8,3,4,0.5,3.3333333,5.25,2.7142857,2.9565217,4,3.4722222
261,308,2,12,9,Grant-White,8,4.6666667,7,2.25,3.3333333,6.25,3.2857143,3.7826087,4.65,4.7222222
262,309,1,14,10,Grant-White,8,4.8333333,5.75,1.125,2,6,1.2857143,4.3478261,9.1,6.3055556
263,310,2,13,5,Grant-White,8,4.1666667,5,1.375,4,4.75,2.4285714,4.826087,6.25,5.7222222
264,311,1,13,4,Grant-White,8,4.8333333,8.25,1.375,4.3333333,5.75,3.7142857,3.3913043,5.15,5.5
265,312,2,13,6,Grant-White,8,5.3333333,5.25,1.875,4.6666667,5,4.1428571,5.0869565,5.4,6.5833333
266,313,1,13,6,Grant-White,8,5,5.25,2.625,4,6,3.8571429,4.173913,5.65,5.7222222
267,314,2,13,5,Grant-White,8,5.8333333,7,2.375,6,6.75,4.7142857,6.3043478,5.85,6.2777778
268,315,1,12,1,Grant-White,8,2.6666667,8.5,4,4.6666667,5.5,3.4285714,4.3043478,5.4,5.9722222
269,316,2,13,5,Grant-White,8,6.3333333,7.5,4.125,4.6666667,5.5,4.1428571,4.2173913,6,7
270,317,2,13,2,Grant-White,8,4.3333333,6.25,0.875,3.3333333,3.75,1.8571429,5,6.45,5.0833333
271,318,2,13,7,Grant-White,8,5.5,7,1.5,4.6666667,5.25,2,4.6086957,5.3,5.1944444
272,320,1,15,3,Grant-White,8,4.6666667,6.75,4,3.3333333,4.75,2.4285714,3,6.5,5.5
273,321,2,13,3,Grant-White,8,4.5,5.5,2,2.6666667,4.75,2.1428571,5.8695652,7.1,6.25
274,322,2,14,4,Grant-White,8,4.3333333,7.25,1.25,2.6666667,4.75,1.8571429,3.6956522,5.45,6.1111111
275,323,1,14,7,Grant-White,8,5,8,3.25,2.3333333,3.75,1.4285714,4.7391304,7,4.9444444
276,324,1,13,3,Grant-White,8,3.6666667,5.75,1,1.3333333,3.25,2.4285714,4,4.05,4.1666667
277,325,1,13,8,Grant-White,8,5.3333333,6,1,3,4.75,2,3.3913043,4.45,5.3055556
278,326,1,14,6,Grant-White,8,5.1666667,5.75,1.625,4,4.75,2.1428571,3.5652174,5.4,5.0555556
279,327,1,14,9,Grant-White,8,5.3333333,6.25,2.125,1.6666667,2.75,2.2857143,4.6086957,7.15,5.5555556
280,328,1,16,4,Grant-White,8,6.6666667,5.25,1.875,2.6666667,4.5,1.8571429,3.6521739,6.3,5.9722222
281,329,1,12,11,Grant-White,8,3.5,5,1.375,2.3333333,4.75,1.1428571,3.4782609,5.85,6.5277778
282,330,1,13,1,Grant-White,8,5.1666667,6.25,3.25,5,6,3.2857143,2.3913043,4,4.2777778
283,331,2,14,1,Grant-White,8,4,6,2,2.6666667,4.5,1.7142857,3.3478261,4.7,3.75
284,333,1,14,3,Grant-White,8,6.8333333,6.25,1.875,4,5.25,2.7142857,2.7826087,4.7,5.25
285,334,2,14,9,Grant-White,8,5,5.75,1.25,2.6666667,3.5,1.7142857,4.2608696,6.6,6.6666667
286,335,1,16,1,Grant-White,8,5.8333333,5,2,3.3333333,4,1.4285714,3.4782609,5.25,5.6944444
287,336,1,13,5,Grant-White,8,5.6666667,6.75,2.125,4.3333333,6.25,4.5714286,3.3478261,5.95,5.4166667
288,337,1,14,3,Grant-White,8,4.1666667,5.5,1.625,2.3333333,4,1.5714286,5.8695652,6.3,5.6666667
289,338,2,13,1,Grant-White,8,4,6.25,0.75,3,4.75,3.2857143,5.2173913,6.55,5.7222222
290,339,1,14,4,Grant-White,8,6,6.5,2.125,3.3333333,4.75,1.4285714,2.4347826,5.75,5
291,340,1,15,6,Grant-White,8,3.3333333,4.75,0.875,2.6666667,5,0.85714286,5.826087,5.5,6.7777778
292,341,1,14,11,Grant-White,8,4.6666667,6,1.125,1.3333333,3,1.5714286,4.173913,5.75,4.8333333
293,342,2,12,11,Grant-White,8,5.6666667,5.5,1.625,3.3333333,4.25,2,5.4782609,6,4.5
294,343,1,14,3,Grant-White,8,5.6666667,5.25,2.375,3.3333333,4.5,2,3.3913043,5.15,6.3333333
295,344,2,13,0,Grant-White,8,5.8333333,7,1.25,3,3.25,1.5714286,4.173913,4.85,5.7777778
296,345,1,13,3,Grant-White,8,6.1666667,6.5,3,3,4.25,2.8571429,3.0434783,4.25,5.6666667
297,346,1,13,5,Grant-White,8,4,7,1.375,2.6666667,4.25,1,5.0869565,5.6,5.25
298,347,2,14,10,Grant-White,8,3,6,1.625,2.3333333,4,1,4.6086957,6.05,6.0833333
299,348,2,14,3,Grant-White,8,4.6666667,5.5,1.875,3.6666667,5.75,4.2857143,4,6,7.6111111
300,349,1,14,2,Grant-White,8,4.3333333,6.75,0.5,3.6666667,4.5,2,5.0869565,6.2,4.3888889
301,351,1,13,5,Grant-White,"",4.3333333,6,3.375,3.6666667,5.75,3.1428571,4.0869565,6.95,5.1666667
